combo,window,cusum_threshold_atr_mult,pt_mult,sl_mult,horizon_5m_bars,trades_count,total_pnl_usd,max_drawdown_usd,profit_factor,win_rate,passes_constraints
cus0.8_pt2.5_sl3.0_hz24,ytd_2026_jan_apr,0.8,2.5,3.0,24,35,3106.9570921457516,474.33431052909145,3.009539856390595,0.6857142857142857,True
cus1.0_pt2.5_sl3.0_hz12,ytd_2026_jan_apr,1.0,2.5,3.0,12,34,3095.148595236522,459.7922700114432,3.5117235588833213,0.7647058823529411,True
cus1.0_pt3.0_sl3.0_hz24,ytd_2026_jan_apr,1.0,3.0,3.0,24,50,3089.107646355401,1014.6511760955327,1.9384634315031932,0.64,True
cus1.0_pt2.5_sl3.0_hz18,ytd_2026_jan_apr,1.0,2.5,3.0,18,46,3088.226927387717,467.4800000000032,2.4493305908301304,0.6956521739130435,True
cus0.8_pt3.0_sl3.0_hz18,ytd_2026_jan_apr,0.8,3.0,3.0,18,63,3087.5249399396375,1008.4408144783374,1.5426398553503808,0.6190476190476191,True
cus1.0_pt3.5_sl2.0_hz24,ytd_2026_jan_apr,1.0,3.5,2.0,24,78,3086.608139306772,1068.727936057854,1.4855509849195316,0.44871794871794873,True
cus0.8_pt2.5_sl2.0_hz18,ytd_2026_jan_apr,0.8,2.5,2.0,18,69,3082.3266808576323,762.4769900413303,1.757352169405118,0.5652173913043478,True
cus0.8_pt2.5_sl2.0_hz12,ytd_2026_jan_apr,0.8,2.5,2.0,12,108,3079.9347896717836,1068.591518237925,1.379314146446117,0.5370370370370371,True
cus0.8_pt2.5_sl2.0_hz6,ytd_2026_jan_apr,0.8,2.5,2.0,6,67,3078.0114221609974,967.9117686696409,1.6644798804303322,0.5671641791044776,True
cus1.0_pt3.5_sl3.0_hz12,ytd_2026_jan_apr,1.0,3.5,3.0,12,35,3074.666134656902,519.4230030509716,2.5606144600273506,0.6285714285714286,True
cus0.8_pt3.5_sl2.0_hz24,ytd_2026_jan_apr,0.8,3.5,2.0,24,70,3069.83066828359,813.3183997430897,1.594268413138018,0.4857142857142857,True
cus0.6_pt2.5_sl2.5_hz18,ytd_2026_jan_apr,0.6,2.5,2.5,18,48,3065.892201023712,467.4800000000032,2.2261770824008273,0.6875,True
cus0.8_pt3.5_sl3.0_hz24,ytd_2026_jan_apr,0.8,3.5,3.0,24,54,3063.8544653620083,1198.799368342894,1.8054116009608883,0.5925925925925926,True
cus1.0_pt2.5_sl2.0_hz18,ytd_2026_jan_apr,1.0,2.5,2.0,18,61,3063.4458915010023,512.3535326246929,1.8625716578414566,0.5901639344262295,True
cus1.0_pt3.0_sl2.0_hz18,ytd_2026_jan_apr,1.0,3.0,2.0,18,81,3061.1345476862766,871.9814621870246,1.4805812641014475,0.48148148148148145,True
cus1.0_pt3.0_sl2.0_hz12,ytd_2026_jan_apr,1.0,3.0,2.0,12,67,3059.866590904439,805.9851383638088,1.731636266708224,0.5223880597014925,True
cus1.0_pt3.0_sl3.0_hz12,ytd_2026_jan_apr,1.0,3.0,3.0,12,34,3055.889635837573,806.1091924866632,2.606074256400025,0.6764705882352942,True
cus0.8_pt2.5_sl2.5_hz12,ytd_2026_jan_apr,0.8,2.5,2.5,12,43,3053.3699680759923,402.73559790060244,2.7468529555171726,0.6976744186046512,True
