timestamp,open,high,low,close,volume
2026-01-01 23:00:00+00:00,6901.0,6903.25,6897.0,6898.25,2834
2026-01-01 23:05:00+00:00,6898.5,6902.0,6898.0,6902.0,970
2026-01-01 23:10:00+00:00,6901.75,6903.5,6899.75,6901.25,1534
2026-01-01 23:15:00+00:00,6901.25,6903.25,6900.75,6901.25,882
2026-01-01 23:20:00+00:00,6901.25,6902.75,6900.75,6902.75,509
2026-01-01 23:25:00+00:00,6902.75,6904.0,6901.25,6901.5,757
2026-01-01 23:30:00+00:00,6901.5,6905.0,6900.25,6903.5,1223
2026-01-01 23:35:00+00:00,6903.5,6904.5,6903.0,6903.5,304
2026-01-01 23:40:00+00:00,6903.25,6903.25,6901.5,6902.5,769
2026-01-01 23:45:00+00:00,6902.5,6904.75,6902.0,6903.5,744
2026-01-01 23:50:00+00:00,6903.75,6903.75,6902.25,6902.25,287
2026-01-01 23:55:00+00:00,6902.5,6903.0,6901.5,6902.75,252
2026-01-02 00:00:00+00:00,6903.0,6903.0,6900.25,6902.5,664
2026-01-02 00:05:00+00:00,6902.25,6903.75,6898.0,6899.0,1249
2026-01-02 00:10:00+00:00,6899.0,6901.75,6898.75,6900.25,579
2026-01-02 00:15:00+00:00,6900.25,6902.5,6899.5,6902.5,604
2026-01-02 00:20:00+00:00,6902.5,6904.25,6902.5,6903.5,549
2026-01-02 00:25:00+00:00,6903.75,6904.75,6903.0,6904.25,309
2026-01-02 00:30:00+00:00,6904.25,6904.5,6903.5,6904.25,517
2026-01-02 00:35:00+00:00,6904.0,6904.5,6902.25,6903.0,455
2026-01-02 00:40:00+00:00,6903.0,6903.0,6901.5,6902.75,323
2026-01-02 00:45:00+00:00,6902.75,6904.0,6902.0,6902.25,340
2026-01-02 00:50:00+00:00,6902.0,6903.5,6901.75,6903.5,219
2026-01-02 00:55:00+00:00,6903.5,6905.0,6903.25,6904.75,367
2026-01-02 01:00:00+00:00,6904.75,6907.0,6904.5,6906.75,1092
2026-01-02 01:05:00+00:00,6907.0,6908.75,6906.75,6908.0,953
2026-01-02 01:10:00+00:00,6908.0,6911.0,6908.0,6909.75,1416
2026-01-02 01:15:00+00:00,6910.0,6910.75,6909.25,6909.5,693
2026-01-02 01:20:00+00:00,6909.25,6909.75,6907.5,6908.0,859
2026-01-02 01:25:00+00:00,6907.75,6910.25,6907.75,6910.0,728
2026-01-02 01:30:00+00:00,6909.75,6912.5,6909.75,6912.25,989
2026-01-02 01:35:00+00:00,6912.25,6912.75,6911.5,6912.0,612
2026-01-02 01:40:00+00:00,6912.0,6913.0,6912.0,6912.5,500
2026-01-02 01:45:00+00:00,6912.75,6913.0,6912.0,6913.0,351
2026-01-02 01:50:00+00:00,6912.75,6913.5,6912.0,6912.25,566
2026-01-02 01:55:00+00:00,6912.0,6913.25,6911.5,6913.0,483
2026-01-02 02:00:00+00:00,6913.25,6915.0,6913.0,6914.75,861
2026-01-02 02:05:00+00:00,6914.75,6916.0,6914.25,6915.0,877
2026-01-02 02:10:00+00:00,6915.25,6916.25,6914.25,6916.25,841
2026-01-02 02:15:00+00:00,6916.0,6916.5,6915.25,6915.5,492
2026-01-02 02:20:00+00:00,6915.5,6917.25,6915.25,6916.5,700
2026-01-02 02:25:00+00:00,6916.75,6918.0,6916.5,6917.5,634
2026-01-02 02:30:00+00:00,6917.25,6917.75,6916.25,6917.25,505
2026-01-02 02:35:00+00:00,6917.25,6918.25,6917.0,6917.75,429
2026-01-02 02:40:00+00:00,6917.5,6918.25,6917.0,6917.25,463
2026-01-02 02:45:00+00:00,6917.75,6918.25,6917.0,6918.0,248
2026-01-02 02:50:00+00:00,6918.25,6920.0,6918.0,6919.25,1292
2026-01-02 02:55:00+00:00,6919.25,6920.0,6919.0,6919.25,359
2026-01-02 03:00:00+00:00,6919.0,6919.75,6918.5,6919.0,382
2026-01-02 03:05:00+00:00,6919.25,6919.5,6918.25,6919.0,438
2026-01-02 03:10:00+00:00,6919.0,6920.25,6918.75,6919.5,259
2026-01-02 03:15:00+00:00,6919.25,6919.5,6918.5,6919.5,230
2026-01-02 03:20:00+00:00,6919.5,6920.0,6919.25,6919.75,285
2026-01-02 03:25:00+00:00,6919.75,6920.25,6919.5,6920.25,370
2026-01-02 03:30:00+00:00,6920.5,6920.75,6919.0,6919.75,639
2026-01-02 03:35:00+00:00,6919.5,6921.25,6919.0,6921.25,616
2026-01-02 03:40:00+00:00,6921.25,6923.0,6921.0,6922.5,1059
2026-01-02 03:45:00+00:00,6922.25,6923.0,6921.5,6922.75,420
2026-01-02 03:50:00+00:00,6922.75,6923.5,6922.5,6922.75,478
2026-01-02 03:55:00+00:00,6923.0,6923.5,6922.5,6923.5,228
2026-01-02 04:00:00+00:00,6923.5,6923.75,6922.25,6922.75,599
2026-01-02 04:05:00+00:00,6923.0,6923.75,6922.5,6923.25,274
2026-01-02 04:10:00+00:00,6923.5,6924.25,6923.5,6923.5,516
2026-01-02 04:15:00+00:00,6923.5,6924.25,6923.25,6923.75,242
2026-01-02 04:20:00+00:00,6924.0,6924.25,6923.5,6924.0,267
2026-01-02 04:25:00+00:00,6924.25,6924.75,6922.25,6923.25,668
2026-01-02 04:30:00+00:00,6923.25,6923.75,6922.0,6922.0,397
2026-01-02 04:35:00+00:00,6922.0,6923.25,6921.5,6922.5,532
2026-01-02 04:40:00+00:00,6922.75,6923.75,6922.5,6923.5,488
2026-01-02 04:45:00+00:00,6923.5,6923.5,6922.5,6923.0,175
2026-01-02 04:50:00+00:00,6923.0,6923.75,6922.5,6922.75,198
2026-01-02 04:55:00+00:00,6922.75,6922.75,6921.75,6922.25,337
2026-01-02 05:00:00+00:00,6922.25,6922.5,6920.25,6920.75,666
2026-01-02 05:05:00+00:00,6921.0,6923.0,6920.25,6922.0,602
2026-01-02 05:10:00+00:00,6922.0,6922.25,6921.5,6921.75,284
2026-01-02 05:15:00+00:00,6921.75,6923.0,6921.75,6922.75,359
2026-01-02 05:20:00+00:00,6922.75,6923.5,6922.5,6923.5,352
2026-01-02 05:25:00+00:00,6923.25,6923.5,6922.5,6923.25,223
2026-01-02 05:30:00+00:00,6923.5,6923.5,6922.75,6923.0,153
2026-01-02 05:35:00+00:00,6923.25,6923.25,6922.75,6923.0,228
2026-01-02 05:40:00+00:00,6923.0,6923.25,6922.25,6922.5,272
2026-01-02 05:45:00+00:00,6922.75,6923.5,6922.75,6923.5,160
2026-01-02 05:50:00+00:00,6923.25,6924.25,6923.25,6924.25,434
2026-01-02 05:55:00+00:00,6924.0,6924.75,6924.0,6924.25,466
2026-01-02 06:00:00+00:00,6924.0,6925.5,6923.75,6925.25,736
2026-01-02 06:05:00+00:00,6925.0,6925.75,6924.5,6925.5,472
2026-01-02 06:10:00+00:00,6925.25,6925.75,6925.0,6925.25,367
2026-01-02 06:15:00+00:00,6925.25,6925.75,6925.0,6925.5,257
2026-01-02 06:20:00+00:00,6925.5,6925.75,6925.25,6925.25,122
2026-01-02 06:25:00+00:00,6925.5,6925.75,6925.0,6925.0,150
2026-01-02 06:30:00+00:00,6925.25,6925.25,6924.25,6924.5,303
2026-01-02 06:35:00+00:00,6924.5,6925.0,6924.25,6924.5,125
2026-01-02 06:40:00+00:00,6924.75,6925.5,6924.75,6925.5,230
2026-01-02 06:45:00+00:00,6925.5,6925.5,6923.75,6924.0,361
2026-01-02 06:50:00+00:00,6924.0,6924.75,6924.0,6924.5,162
2026-01-02 06:55:00+00:00,6924.75,6924.75,6923.5,6923.5,269
2026-01-02 07:00:00+00:00,6923.5,6924.75,6923.25,6923.5,589
2026-01-02 07:05:00+00:00,6923.5,6923.75,6922.75,6923.0,693
2026-01-02 07:10:00+00:00,6922.75,6923.0,6921.0,6921.0,633
2026-01-02 07:15:00+00:00,6921.0,6922.0,6920.5,6920.75,617
2026-01-02 07:20:00+00:00,6920.75,6922.25,6920.5,6922.0,389
2026-01-02 07:25:00+00:00,6922.0,6923.5,6921.5,6922.5,558
2026-01-02 07:30:00+00:00,6922.5,6923.25,6921.5,6921.75,270
2026-01-02 07:35:00+00:00,6921.75,6922.75,6921.75,6922.75,200
2026-01-02 07:40:00+00:00,6922.5,6923.25,6922.5,6922.75,209
2026-01-02 07:45:00+00:00,6922.75,6923.0,6920.75,6921.5,248
2026-01-02 07:50:00+00:00,6921.25,6922.0,6920.75,6921.75,320
2026-01-02 07:55:00+00:00,6921.75,6923.0,6921.5,6921.75,423
2026-01-02 08:00:00+00:00,6921.75,6924.5,6921.75,6923.75,1004
2026-01-02 08:05:00+00:00,6923.75,6925.0,6923.5,6924.75,788
2026-01-02 08:10:00+00:00,6924.75,6928.75,6924.75,6928.0,1834
2026-01-02 08:15:00+00:00,6928.0,6928.75,6927.25,6928.25,1067
2026-01-02 08:20:00+00:00,6928.25,6929.75,6926.5,6926.5,1318
2026-01-02 08:25:00+00:00,6926.5,6929.75,6925.75,6927.25,896
2026-01-02 08:30:00+00:00,6927.25,6928.5,6925.25,6928.25,650
2026-01-02 08:35:00+00:00,6928.0,6928.0,6927.25,6927.75,380
2026-01-02 08:40:00+00:00,6928.0,6929.5,6927.5,6929.0,375
2026-01-02 08:45:00+00:00,6929.25,6930.5,6928.75,6930.0,863
2026-01-02 08:50:00+00:00,6930.0,6932.25,6929.25,6931.25,1386
2026-01-02 08:55:00+00:00,6931.25,6932.75,6930.25,6931.0,790
2026-01-02 09:00:00+00:00,6931.0,6934.75,6930.5,6933.25,1578
2026-01-02 09:05:00+00:00,6933.0,6935.75,6932.75,6935.0,1354
2026-01-02 09:10:00+00:00,6934.75,6937.25,6934.75,6936.5,1563
2026-01-02 09:15:00+00:00,6936.5,6936.75,6933.25,6935.5,920
2026-01-02 09:20:00+00:00,6935.5,6936.5,6933.75,6934.0,561
2026-01-02 09:25:00+00:00,6934.25,6936.75,6933.25,6936.75,509
2026-01-02 09:30:00+00:00,6936.75,6936.75,6934.75,6935.0,654
2026-01-02 09:35:00+00:00,6935.25,6936.25,6934.75,6936.25,386
2026-01-02 09:40:00+00:00,6936.5,6937.5,6936.25,6936.75,451
2026-01-02 09:45:00+00:00,6937.0,6937.25,6935.25,6935.5,450
2026-01-02 09:50:00+00:00,6935.75,6936.75,6935.0,6936.75,363
2026-01-02 09:55:00+00:00,6936.5,6938.0,6935.5,6937.25,548
2026-01-02 10:00:00+00:00,6937.25,6937.75,6935.25,6936.5,652
2026-01-02 10:05:00+00:00,6936.25,6936.75,6934.75,6935.5,566
2026-01-02 10:10:00+00:00,6935.75,6937.75,6935.5,6935.75,536
