combo,window,cusum_threshold_atr_mult,pt_mult,sl_mult,trades_count,total_pnl_usd,max_drawdown_usd,profit_factor,win_rate,passes_constraints
cus0.6_pt2.0_sl1.5,ytd_2026_jan_apr,0.6,2.0,1.5,93,3196.409774821061,957.2238333813075,1.696364000972856,0.5483870967741935,True
cus0.6_pt2.0_sl2.0,ytd_2026_jan_apr,0.6,2.0,2.0,85,3212.7048076852666,978.5415397538891,1.703506715005726,0.6470588235294118,True
cus0.6_pt2.0_sl2.5,ytd_2026_jan_apr,0.6,2.0,2.5,57,3197.827455652736,622.5701359852465,2.290676367000664,0.7368421052631579,True
cus0.6_pt2.0_sl3.0,ytd_2026_jan_apr,0.6,2.0,3.0,50,3117.3904423399617,467.4800000000032,2.873746876336331,0.84,True
cus0.6_pt2.5_sl1.5,ytd_2026_jan_apr,0.6,2.5,1.5,78,3000.2157827205974,574.0611166148301,1.7114293165605259,0.5128205128205128,True
cus0.6_pt2.5_sl2.0,ytd_2026_jan_apr,0.6,2.5,2.0,79,3284.9166545619805,708.3048852377688,1.7147259889006468,0.5822784810126582,True
cus0.6_pt2.5_sl2.5,ytd_2026_jan_apr,0.6,2.5,2.5,63,3117.8985086684474,464.15455277453293,1.9998142932055742,0.6507936507936508,True
cus0.6_pt2.5_sl3.0,ytd_2026_jan_apr,0.6,2.5,3.0,40,3135.0386276172967,307.4800000000032,3.3505414703012066,0.8,True
cus0.6_pt3.0_sl1.5,ytd_2026_jan_apr,0.6,3.0,1.5,66,-1374.2204786048806,1560.9893908797167,0.7328382481186904,0.3484848484848485,True
cus0.6_pt3.0_sl2.0,ytd_2026_jan_apr,0.6,3.0,2.0,130,899.9701357129526,1427.0086276613147,1.0723401256855127,0.45384615384615384,True
cus0.6_pt3.0_sl2.5,ytd_2026_jan_apr,0.6,3.0,2.5,79,3139.311367516107,985.628490333831,1.5886955342216553,0.5949367088607594,True
cus0.6_pt3.0_sl3.0,ytd_2026_jan_apr,0.6,3.0,3.0,37,3027.8613128761704,467.4800000000032,2.4601666477581925,0.7297297297297297,True
cus0.6_pt3.5_sl1.5,ytd_2026_jan_apr,0.6,3.5,1.5,95,135.24539773676543,2546.144465919242,1.0176446624874391,0.3894736842105263,False
