config_name,pt_mult,sl_mult,horizon,total_events,trades_per_year,trades_per_month,trades_in_30d,win_rate,avg_win,avg_loss,avg_ret_per_trade,total_pnl_15y,expected_30d_pnl,prob_hit_3k_target,avg_bars_held,assessment
Current (2.9/3.4/12),2.9,3.4,12,668055,43004.42170426507,3583.701808688756,3583.701808688756,0.0958798302534971,11.263231280744762,-8.867222305728765,-5.656377293439239,-3778771.132768551,-20270.76953712421,0.0,10.612271444716377,❌ NOT VIABLE
Current (2.9/3.4/24),2.9,3.4,24,668055,43004.42170426507,3583.701808688756,3583.701808688756,0.143223237607682,12.54106744786975,-9.550676424380462,-5.464764624147984,-3650763.330985181,-19584.086867617458,0.0,19.101671269581097,❌ NOT VIABLE
Ultra-Aggressive (0.5/0.6/5),0.5,0.6,5,668055,43004.42170426507,3583.701808688756,3583.701808688756,0.40123792202737796,5.40262915229289,-6.8682408495130565,-6.314902188740472,-4218701.981699016,-22630.726395481815,0.0,2.9507001669024255,❌ NOT VIABLE
Very Aggressive (0.8/1.0/8),0.8,1.0,8,668055,43004.42170426507,3583.701808688756,3583.701808688756,0.3931787053461167,9.669186419815262,-7.707475135520163,-6.467560097541805,-4320685.860963291,-23177.806819363792,0.0,3.8683880818196106,❌ NOT VIABLE
Aggressive (1.0/1.2/10),1.0,1.2,10,668055,43004.42170426507,3583.701808688756,3583.701808688756,0.39015200844241865,10.517149407773301,-8.20552734799517,-6.338846026319919,-4234697.7821131535,-22716.53396952223,0.0,4.468314734565268,❌ NOT VIABLE
Moderate (1.5/1.8/12),1.5,1.8,12,668055,43004.42170426507,3583.701808688756,3583.701808688756,0.3337105477842393,10.908379365711806,-9.155936168169477,-5.751356981938759,-3842222.788569098,-20611.148418588637,0.0,6.796892471428251,❌ NOT VIABLE
Conservative (2.0/2.5/15),2.0,2.5,15,668055,43004.42170426507,3583.701808688756,3583.701808688756,0.24389458951733017,11.737061260051068,-9.293392782918453,-5.406107939296754,-3611577.4393868926,-19373.87880002442,0.0,10.610255143663322,❌ NOT VIABLE
