stop_ticks,target_ticks,target_multiplier,long_wr,long_ev,long_pf,long_wins,long_losses,long_neutral,short_wr,short_ev,short_pf,short_wins,short_losses,short_neutral,avg_wr,avg_ev
18,27,1.5,0.33486278040950557,-0.16284304897623614,0.7551737533549937,42767,84948,2571,0.32221381016679285,-0.19446547458301788,0.7130872869645325,41283,86840,2163,0.3285382952881492,-0.178654261779627
20,30,1.5,0.34765250467612896,-0.1308687383096776,0.7993879960484784,44236,83006,3044,0.33198656362312373,-0.17003359094219067,0.7454638160208172,42399,85314,2573,0.33981953414962635,-0.15045116462593414
22,33,1.5,0.3580942461256825,-0.10476438468579363,0.8367916410571604,45382,81350,3554,0.3383355749038484,-0.154161062740379,0.7670101989872333,43017,84126,3143,0.3482149105147655,-0.12946272371308631
24,36,1.5,0.36766172304088385,-0.08084569239779038,0.872148033191074,46457,79901,3928,0.3426415570885097,-0.14339610727872576,0.7818600965348318,43412,83286,3588,0.3551516400646968,-0.11212089983825807
26,39,1.5,0.37433562933479514,-0.06416092666301221,0.8974515256561654,47118,78753,4415,0.3438387685471713,-0.1404030786320717,0.7860235077875594,43334,82696,4256,0.35908719894098323,-0.10228200264754195
28,42,1.5,0.3806970509383378,-0.04825737265415553,0.922077922077922,47712,77616,4958,0.34536658577085194,-0.13658353557287017,0.7913587473476256,43262,82002,5022,0.36303181835459486,-0.09242045411351285
30,45,1.5,0.38584769022717635,-0.035380774432059114,0.9423908794788274,48219,76750,5317,0.34655564209833223,-0.13361089475416943,0.7955282754552828,43159,81378,5749,0.3662016661627543,-0.08449583459311427
