entry_time,exit_time,direction,contracts,entry_price,exit_price,pnl,reason,stop_ticks
2023-05-26 14:15:00+00:00,2023-05-26 14:15:00+00:00,short,5,4232.75,4238.75,-179.75,STOP,24
2023-05-26 14:20:00+00:00,2023-05-26 14:20:00+00:00,short,5,4235.25,4241.25,-179.75,STOP,24
2023-05-26 14:25:00+00:00,2023-05-26 14:25:00+00:00,short,5,4197.0,4203.0,-179.75,STOP,24
2023-05-29 13:45:00+00:00,2023-05-29 13:45:00+00:00,long,5,4221.25,4233.25,270.25,TARGET,24
2023-05-29 13:50:00+00:00,2023-05-29 13:50:00+00:00,long,5,4221.75,4233.75,270.25,TARGET,24
2023-05-29 13:55:00+00:00,2023-05-29 13:55:00+00:00,long,5,4222.25,4234.25,270.25,TARGET,24
2023-05-29 14:00:00+00:00,2023-05-29 14:00:00+00:00,long,5,4222.0,4234.0,270.25,TARGET,24
2023-05-29 14:05:00+00:00,2023-05-29 14:05:00+00:00,long,5,4221.5,4215.5,-179.75,STOP,24
2023-05-29 14:15:00+00:00,2023-05-29 14:15:00+00:00,long,5,4222.25,4216.25,-179.75,STOP,24
2023-05-29 14:25:00+00:00,2023-05-29 14:25:00+00:00,long,5,4223.0,4235.0,270.25,TARGET,24
2023-05-29 14:30:00+00:00,2023-05-29 14:30:00+00:00,long,5,4224.5,4236.5,270.25,TARGET,24
2023-05-29 14:35:00+00:00,2023-05-29 14:35:00+00:00,long,5,4225.25,4237.25,270.25,TARGET,24
2023-05-29 14:40:00+00:00,2023-05-29 14:40:00+00:00,long,5,4224.75,4236.75,270.25,TARGET,24
2023-05-29 14:45:00+00:00,2023-05-29 15:00:00+00:00,long,5,4224.75,4236.75,270.25,TARGET,24
2023-05-29 15:05:00+00:00,2023-05-29 15:05:00+00:00,long,5,4225.0,4237.0,270.25,TARGET,24
2023-05-29 15:10:00+00:00,2023-05-29 15:10:00+00:00,long,5,4225.0,4237.0,270.25,TARGET,24
2023-05-29 15:15:00+00:00,2023-05-29 15:15:00+00:00,long,5,4225.5,4237.5,270.25,TARGET,24
2023-05-29 15:20:00+00:00,2023-05-29 15:30:00+00:00,long,5,4226.25,4238.25,270.25,TARGET,24
2023-05-29 15:35:00+00:00,2023-05-29 15:35:00+00:00,long,5,4226.0,4238.0,270.25,TARGET,24
2023-05-29 15:40:00+00:00,2023-05-29 15:40:00+00:00,long,5,4226.0,4238.0,270.25,TARGET,24
2023-05-29 15:45:00+00:00,2023-05-29 15:50:00+00:00,long,5,4227.0,4239.0,270.25,TARGET,24
2023-05-29 15:55:00+00:00,2023-05-29 15:55:00+00:00,long,5,4226.75,4238.75,270.25,TARGET,24
2023-05-29 16:00:00+00:00,2023-05-29 16:00:00+00:00,long,5,4226.0,4238.0,270.25,TARGET,24
2023-05-29 16:05:00+00:00,2023-05-29 16:05:00+00:00,long,5,4225.75,4237.75,270.25,TARGET,24
2023-05-29 16:10:00+00:00,2023-05-29 16:15:00+00:00,long,5,4225.75,4237.75,270.25,TARGET,24
2023-05-29 16:20:00+00:00,2023-05-29 16:25:00+00:00,long,5,4226.0,4238.0,270.25,TARGET,24
2023-05-29 16:30:00+00:00,2023-05-29 16:30:00+00:00,long,5,4225.5,4237.5,270.25,TARGET,24
2023-05-29 16:35:00+00:00,2023-05-29 16:35:00+00:00,long,5,4226.0,4238.0,270.25,TARGET,24
2023-05-29 16:40:00+00:00,2023-05-29 16:50:00+00:00,long,5,4225.5,4237.5,270.25,TARGET,24
2023-05-29 16:55:00+00:00,2023-05-29 17:00:00+00:00,long,5,4226.25,4238.25,270.25,TARGET,24
2023-05-30 13:30:00+00:00,2023-05-30 13:30:00+00:00,long,5,4275.25,4269.25,-179.75,STOP,24
2023-05-30 13:45:00+00:00,2023-05-30 13:45:00+00:00,short,5,4233.25,4239.25,-179.75,STOP,24
2023-05-30 13:50:00+00:00,2023-05-30 13:50:00+00:00,short,5,4271.0,4259.0,270.25,TARGET,24
2023-05-30 13:55:00+00:00,2023-05-30 13:55:00+00:00,short,5,42.15,48.15,-179.75,STOP,24
2023-05-30 14:05:00+00:00,2023-05-30 14:05:00+00:00,short,5,4223.25,4229.25,-179.75,STOP,24
2023-05-30 14:10:00+00:00,2023-05-30 14:10:00+00:00,short,5,4263.5,4269.5,-179.75,STOP,24
2023-05-31 13:35:00+00:00,2023-05-31 13:35:00+00:00,short,5,4238.0,4226.0,270.25,TARGET,24
2023-05-31 13:40:00+00:00,2023-05-31 13:40:00+00:00,short,5,4193.5,4199.5,-179.75,STOP,24
2023-05-31 13:45:00+00:00,2023-05-31 13:45:00+00:00,short,5,4198.0,4204.0,-179.75,STOP,24
2023-05-31 13:50:00+00:00,2023-05-31 13:50:00+00:00,short,5,4241.0,4247.0,-179.75,STOP,24
2023-05-31 13:55:00+00:00,2023-05-31 13:55:00+00:00,short,5,4198.0,4204.0,-179.75,STOP,24
2023-05-31 14:05:00+00:00,2023-05-31 14:05:00+00:00,short,5,4192.0,4198.0,-179.75,STOP,24
2023-06-01 13:35:00+00:00,2023-06-01 13:35:00+00:00,short,5,4229.0,4235.0,-179.75,STOP,24
2023-06-01 13:40:00+00:00,2023-06-01 13:40:00+00:00,short,5,4222.75,4210.75,270.25,TARGET,24
2023-06-01 13:45:00+00:00,2023-06-01 13:45:00+00:00,short,5,4225.25,4231.25,-179.75,STOP,24
2023-06-01 13:50:00+00:00,2023-06-01 13:50:00+00:00,short,5,4223.75,4211.75,270.25,TARGET,24
2023-06-01 13:55:00+00:00,2023-06-01 13:55:00+00:00,short,5,4260.75,4248.75,270.25,TARGET,24
2023-06-01 14:00:00+00:00,2023-06-01 14:00:00+00:00,short,5,4221.75,4227.75,-179.75,STOP,24
2023-06-01 14:05:00+00:00,2023-06-01 14:05:00+00:00,short,5,4185.5,4191.5,-179.75,STOP,24
2023-06-01 14:10:00+00:00,2023-06-01 14:10:00+00:00,short,5,4231.5,4219.5,270.25,TARGET,24
2023-06-01 14:15:00+00:00,2023-06-01 14:15:00+00:00,short,5,4232.0,4238.0,-179.75,STOP,24
2023-06-01 14:20:00+00:00,2023-06-01 14:20:00+00:00,short,5,4237.75,4243.75,-179.75,STOP,24
2023-06-01 14:25:00+00:00,2023-06-01 14:25:00+00:00,short,5,4190.25,4196.25,-179.75,STOP,24
2023-06-01 14:30:00+00:00,2023-06-01 14:30:00+00:00,short,5,4226.5,4232.5,-179.75,STOP,24
2023-06-01 14:35:00+00:00,2023-06-01 14:35:00+00:00,short,5,4232.75,4220.75,270.25,TARGET,24
2023-06-01 14:40:00+00:00,2023-06-01 14:40:00+00:00,short,5,4192.25,4198.25,-179.75,STOP,24
2023-06-01 14:45:00+00:00,2023-06-01 14:45:00+00:00,short,5,4196.5,4202.5,-179.75,STOP,24
2023-06-01 14:50:00+00:00,2023-06-01 14:50:00+00:00,short,5,4247.25,4253.25,-179.75,STOP,24
