entry_time,exit_time,direction,contracts,entry_price,exit_price,pnl,reason,stop_ticks,score,confidence,atr_ticks,vol_percentile
2013-05-22 18:45:00+00:00,2013-05-22 19:45:00+00:00,long,1,1655.0,1650.75,-27.2,TIME_EXIT,48,0.43600877568047586,0.0883612723188203,14.142857142857142,0.67
2013-10-30 18:25:00+00:00,2013-10-30 19:25:00+00:00,long,1,1756.25,1757.75,1.5499999999999998,TIME_EXIT,48,0.43885079477549416,0.07481671534497636,11.642857142857142,1.0
2014-01-29 19:15:00+00:00,2014-01-29 20:15:00+00:00,long,1,1771.5,1766.25,-32.2,TIME_EXIT,48,0.4349880123393012,0.06777643288246199,12.428571428571429,0.65
2014-09-17 18:50:00+00:00,2014-09-17 19:50:00+00:00,long,1,1994.25,1994.0,-7.2,TIME_EXIT,48,0.43768283196460916,0.08099182425036927,14.571428571428571,0.78
2014-10-10 18:45:00+00:00,2014-10-10 19:45:00+00:00,long,1,1914.0,1905.75,-47.2,TIME_EXIT,48,0.439394220506218,0.07486721460318968,11.857142857142858,0.1
2014-10-13 18:50:00+00:00,2014-10-13 19:30:00+00:00,long,1,1894.25,1882.25,-65.95,CATASTOP,48,0.4349362678478877,0.07035074602889863,11.571428571428571,0.28
2014-10-14 18:30:00+00:00,2014-10-14 19:30:00+00:00,long,1,1877.75,1871.0,-39.7,TIME_EXIT,48,0.4358452664918631,0.06961872665145524,13.857142857142858,0.42
2014-10-17 18:15:00+00:00,2014-10-17 19:15:00+00:00,long,1,1872.75,1881.5,37.8,TIME_EXIT,48,0.43930922666571587,0.08757716724816905,12.5,0.2
2014-12-10 19:35:00+00:00,2014-12-10 20:35:00+00:00,long,1,2030.0,2033.75,12.8,TIME_EXIT,48,0.43833221912427917,0.08159286139762129,12.214285714285714,0.28
2014-12-11 19:00:00+00:00,2014-12-11 19:50:00+00:00,long,1,2052.25,2037.5,-79.7,CATASTOP,48,0.43728398084219544,0.09821276147126468,12.571428571428571,0.03
2014-12-18 19:35:00+00:00,2014-12-18 20:35:00+00:00,long,1,2038.0,2047.25,40.3,TIME_EXIT,48,0.43675107923750855,0.16189421732650566,7.142857142857143,0.12
2015-01-07 19:20:00+00:00,2015-01-07 20:20:00+00:00,long,1,2019.0,2016.75,-17.2,TIME_EXIT,48,0.43490351760270984,0.09303508105256342,11.785714285714286,0.07
2015-01-16 19:45:00+00:00,2015-01-16 20:45:00+00:00,long,1,2000.5,2011.5,49.05,TIME_EXIT,48,0.4355147777398948,0.12024441522892965,8.428571428571429,0.03
2015-02-03 19:30:00+00:00,2015-02-03 20:30:00+00:00,long,1,2034.0,2039.75,22.8,TIME_EXIT,48,0.43501417259356673,0.09999729459107343,10.5,0.16
2015-07-08 18:50:00+00:00,2015-07-08 19:50:00+00:00,long,1,2041.75,2041.25,-8.45,TIME_EXIT,48,0.43895327909123366,0.07182036980520473,12.0,0.19
2015-08-27 17:45:00+00:00,2015-08-27 18:30:00+00:00,long,1,1981.5,1969.0,-68.45,CATASTOP,48,0.4379403629151718,0.1363049092920111,12.571428571428571,0.17
2015-08-31 18:20:00+00:00,2015-08-31 19:20:00+00:00,long,1,1968.0,1966.0,-15.95,TIME_EXIT,48,0.43520020008836247,0.08382626623379308,10.785714285714286,0.09
2015-09-02 18:35:00+00:00,2015-09-02 19:35:00+00:00,long,1,1933.75,1934.0,-4.7,TIME_EXIT,48,0.44415612770976726,0.08923250821476308,13.0,0.03
2015-09-09 18:50:00+00:00,2015-09-09 19:50:00+00:00,long,1,1952.25,1941.25,-60.95,TIME_EXIT,48,0.4367458999634189,0.07415473484578822,12.714285714285714,0.38
2015-09-10 18:40:00+00:00,2015-09-10 19:40:00+00:00,long,1,1958.0,1945.25,-69.7,CATASTOP,48,0.43668790125715645,0.08932969739793567,13.857142857142858,0.4
2015-09-25 18:25:00+00:00,2015-09-25 18:50:00+00:00,long,1,1931.0,1917.5,-73.45,CATASTOP,48,0.4383008101970685,0.0936281199917588,9.285714285714286,0.34
2015-10-02 18:15:00+00:00,2015-10-02 19:15:00+00:00,long,1,1920.75,1928.75,34.05,TIME_EXIT,48,0.43739573900011436,0.09315772633353148,13.142857142857142,0.28
2015-10-07 18:40:00+00:00,2015-10-07 19:40:00+00:00,long,1,1981.0,1983.5,6.55,TIME_EXIT,48,0.4362824520264517,0.08788405898193907,12.357142857142858,0.32
2015-10-08 18:50:00+00:00,2015-10-08 19:50:00+00:00,long,1,1998.75,2004.25,21.55,TIME_EXIT,48,0.4382124276776231,0.0733404942655475,14.571428571428571,0.04
2015-10-22 18:25:00+00:00,2015-10-22 19:25:00+00:00,long,1,2036.0,2044.75,37.8,TIME_EXIT,48,0.4374282849275874,0.1476682327567515,8.214285714285714,0.03
2015-10-28 18:10:00+00:00,2015-10-28 19:10:00+00:00,long,1,2062.75,2072.75,44.05,TIME_EXIT,48,0.4351095147924037,0.08124040670498978,9.928571428571429,1.0
2016-01-06 19:50:00+00:00,2016-01-06 20:50:00+00:00,long,1,1976.75,1979.75,9.05,TIME_EXIT,48,0.43805626122057373,0.06732384686652676,12.928571428571429,0.63
2016-01-08 19:45:00+00:00,2016-01-08 20:45:00+00:00,long,1,1927.0,1918.5,-48.45,TIME_EXIT,48,0.4380836352262246,0.07138338557495394,12.714285714285714,0.26
2016-01-14 19:25:00+00:00,2016-01-14 20:25:00+00:00,long,1,1915.0,1925.0,44.05,TIME_EXIT,48,0.4366730627450713,0.0819045732323867,14.928571428571429,0.4
2016-01-21 18:30:00+00:00,2016-01-21 19:15:00+00:00,long,1,1869.25,1856.0,-72.2,CATASTOP,48,0.4372844742417125,0.09224969211321538,15.285714285714286,0.23
2016-01-22 19:35:00+00:00,2016-01-22 20:35:00+00:00,long,1,1895.0,1894.75,-7.2,TIME_EXIT,48,0.43562491376506407,0.09692408869517805,9.642857142857142,0.16
2016-01-25 19:50:00+00:00,2016-01-25 20:35:00+00:00,long,1,1884.25,1871.25,-70.95,CATASTOP,48,0.4362210358353231,0.07407260711342561,10.714285714285714,0.08
2016-01-26 19:40:00+00:00,2016-01-26 20:40:00+00:00,long,1,1890.75,1893.75,9.05,TIME_EXIT,48,0.4358668368268774,0.10043011573175942,8.928571428571429,0.03
2016-01-28 19:50:00+00:00,2016-01-28 20:50:00+00:00,long,1,1886.5,1887.25,-2.2,TIME_EXIT,48,0.4397250202791819,0.07804281022169479,15.214285714285714,0.4
2016-02-04 19:10:00+00:00,2016-02-04 20:10:00+00:00,long,1,1902.0,1903.75,2.8,TIME_EXIT,48,0.434864402850711,0.07592950094857193,13.785714285714286,0.08
2016-02-10 19:05:00+00:00,2016-02-10 20:05:00+00:00,long,1,1862.5,1863.0,-3.45,TIME_EXIT,48,0.4353090240593927,0.08213718933365799,13.928571428571429,0.06
2016-02-11 19:35:00+00:00,2016-02-11 20:35:00+00:00,long,1,1807.5,1827.75,95.3,TIME_EXIT,48,0.43643204530275276,0.061872159640149915,14.357142857142858,0.11
2016-02-26 19:45:00+00:00,2016-02-26 20:45:00+00:00,long,1,1943.75,1948.5,17.8,TIME_EXIT,48,0.4381017956498437,0.08124754469339346,10.285714285714286,0.3
2016-03-04 19:50:00+00:00,2016-03-04 20:50:00+00:00,long,1,1995.0,1997.75,7.8,TIME_EXIT,48,0.4349131270201506,0.11732448895692721,8.857142857142858,0.61
2016-04-11 18:50:00+00:00,2016-04-11 19:50:00+00:00,long,1,2046.75,2036.5,-57.2,TIME_EXIT,48,0.43503265336810126,0.08184670902675562,10.285714285714286,0.22
2016-06-15 18:35:00+00:00,2016-06-15 19:35:00+00:00,long,1,2070.75,2072.0,0.2999999999999998,TIME_EXIT,48,0.43486637396841904,0.07574077536965357,11.428571428571429,0.39
2016-11-09 19:05:00+00:00,2016-11-09 20:05:00+00:00,long,1,2153.75,2162.25,36.55,TIME_EXIT,48,0.43492399927257475,0.09511359653617485,14.571428571428571,0.52
2016-11-10 19:30:00+00:00,2016-11-10 20:30:00+00:00,long,1,2170.5,2166.5,-25.95,TIME_EXIT,48,0.4363663502358942,0.0878413607617316,13.642857142857142,0.15
2017-06-09 18:50:00+00:00,2017-06-09 19:50:00+00:00,long,1,2419.75,2427.0,30.3,TIME_EXIT,48,0.43535938215695374,0.07344842024613374,12.785714285714286,1.0
2017-06-14 18:50:00+00:00,2017-06-14 19:50:00+00:00,long,1,2430.0,2434.5,16.55,TIME_EXIT,48,0.43625580180306056,0.07357829547651912,10.5,1.0
2018-01-16 19:50:00+00:00,2018-01-16 20:50:00+00:00,long,1,2772.25,2781.5,40.3,TIME_EXIT,48,0.43978844899115743,0.0819588936574332,11.928571428571429,0.56
2018-01-25 19:45:00+00:00,2018-01-25 20:45:00+00:00,long,1,2837.0,2839.5,6.55,TIME_EXIT,48,0.43581640370911146,0.09388168806701719,9.142857142857142,0.29
2018-01-31 19:30:00+00:00,2018-01-31 20:30:00+00:00,long,1,2823.5,2821.5,-15.95,TIME_EXIT,48,0.4405170367810901,0.07190416018921708,11.571428571428571,0.34
