entry_time,exit_time,direction,contracts,entry_price,exit_price,pnl,reason,stop_ticks,score,confidence
2013-05-22 18:45:00+00:00,2013-05-22 19:45:00+00:00,long,1,1655.0,1650.75,-27.2,TIME_EXIT,48,0.43600877568047586,0.0883612723188203
2013-06-19 18:45:00+00:00,2013-06-19 19:00:00+00:00,long,1,1643.75,1627.75,-85.95,CATASTOP,48,0.43891204606782724,0.05840049617496745
2013-09-13 18:40:00+00:00,2013-09-13 19:40:00+00:00,long,1,1687.5,1680.25,-42.2,TIME_EXIT,48,0.4349274693719854,0.058873778107983055
2013-10-30 18:25:00+00:00,2013-10-30 19:25:00+00:00,long,1,1756.25,1757.75,1.5499999999999998,TIME_EXIT,48,0.43885079477549416,0.07481671534497636
2014-01-29 19:15:00+00:00,2014-01-29 20:15:00+00:00,long,1,1771.5,1766.25,-32.2,TIME_EXIT,48,0.4349880123393012,0.06777643288246199
2014-03-19 18:15:00+00:00,2014-03-19 19:10:00+00:00,long,1,1860.25,1846.25,-75.95,CATASTOP,48,0.43668933990008957,0.057793784994903286
2014-09-17 18:50:00+00:00,2014-09-17 19:50:00+00:00,long,1,1994.25,1994.0,-7.2,TIME_EXIT,48,0.43768283196460916,0.08099182425036927
2014-10-10 18:45:00+00:00,2014-10-10 19:45:00+00:00,long,1,1914.0,1905.75,-47.2,TIME_EXIT,48,0.439394220506218,0.07486721460318968
2014-10-13 18:50:00+00:00,2014-10-13 19:30:00+00:00,long,1,1894.25,1882.25,-65.95,CATASTOP,48,0.4349362678478877,0.07035074602889863
2014-10-14 18:30:00+00:00,2014-10-14 19:30:00+00:00,long,1,1877.75,1871.0,-39.7,TIME_EXIT,48,0.4358452664918631,0.06961872665145524
2014-10-16 18:05:00+00:00,2014-10-16 19:05:00+00:00,long,1,1858.5,1850.25,-47.2,TIME_EXIT,48,0.4407385597160862,0.08668399885882294
2014-10-17 18:15:00+00:00,2014-10-17 19:15:00+00:00,long,1,1872.75,1881.5,37.8,TIME_EXIT,48,0.43930922666571587,0.08757716724816905
2014-10-29 18:45:00+00:00,2014-10-29 19:45:00+00:00,long,1,1970.5,1976.5,24.05,TIME_EXIT,48,0.44056731109464053,0.0635478964036908
2014-12-10 19:35:00+00:00,2014-12-10 20:35:00+00:00,long,1,2030.0,2033.75,12.8,TIME_EXIT,48,0.43833221912427917,0.08159286139762129
2014-12-11 19:00:00+00:00,2014-12-11 19:50:00+00:00,long,1,2052.25,2037.5,-79.7,CATASTOP,48,0.43728398084219544,0.09821276147126468
2014-12-17 19:45:00+00:00,2014-12-17 20:45:00+00:00,long,1,1995.0,2007.5,56.55,TIME_EXIT,48,0.44594331367938134,0.07708463487286465
2014-12-18 19:35:00+00:00,2014-12-18 20:35:00+00:00,long,1,2038.0,2047.25,40.3,TIME_EXIT,48,0.43675107923750855,0.16189421732650566
2015-01-07 19:20:00+00:00,2015-01-07 20:20:00+00:00,long,1,2019.0,2016.75,-17.2,TIME_EXIT,48,0.43490351760270984,0.09303508105256342
2015-01-13 19:00:00+00:00,2015-01-13 20:00:00+00:00,long,1,2010.0,2004.75,-32.2,TIME_EXIT,48,0.4432808357995529,0.09926735825172195
2015-01-16 19:45:00+00:00,2015-01-16 20:45:00+00:00,long,1,2000.5,2011.5,49.05,TIME_EXIT,48,0.4355147777398948,0.12024441522892965
2015-01-28 19:35:00+00:00,2015-01-28 20:35:00+00:00,long,1,2015.75,2002.5,-72.2,CATASTOP,48,0.43861451023753883,0.07253718515110524
2015-02-03 19:30:00+00:00,2015-02-03 20:30:00+00:00,long,1,2034.0,2039.75,22.8,TIME_EXIT,48,0.43501417259356673,0.09999729459107343
2015-06-11 17:40:00+00:00,2015-06-11 18:40:00+00:00,long,1,2110.25,2110.5,-4.7,TIME_EXIT,48,0.4364713154557291,0.09162143733457301
