long_threshold,short_threshold,long_signals,short_signals,total_signals,estimated_trades,trades_per_day,est_long_wr,est_short_wr,est_avg_wr,long_avg_prob,short_avg_prob,description
0.65,0.65,28004,8285,36289,21773,12.81518540317834,0.7736697762787146,0.7136892448934992,0.7599758551861931,0.7033361602533769,0.6797040427557135,Current (baseline)
0.65,0.6,28004,16734,44738,26842,15.79870512065921,0.7736697762787146,0.6852472478537894,0.7405958214603791,0.7033361602533769,0.6526164265274185,Lower short only
0.65,0.55,28004,24175,52179,31307,18.42672160094173,0.7736697762787146,0.6603781602947666,0.7211807516440543,0.7033361602533769,0.628931581233111,Much lower short
0.6,0.6,42209,16734,58943,35365,20.81518540317834,0.7448749227623199,0.6852472478537894,0.7279465425998011,0.677159020693018,0.6526164265274185,Lower both to 0.60
0.55,0.55,54705,24175,78880,47328,27.856386109476162,0.7190583193434829,0.6603781602947666,0.701074130131988,0.653689381221348,0.628931581233111,Lower both to 0.55
0.6,0.55,42209,24175,66384,39830,23.44320188346086,0.7448749227623199,0.6603781602947666,0.7141038147746557,0.677159020693018,0.628931581233111,"Long 0.60, Short 0.55"
0.55,0.5,54705,33838,88543,53125,31.268393172454385,0.7190583193434829,0.6282201739021644,0.6843431960085684,0.653689381221348,0.5983049275258708,"Long 0.55, Short 0.50"
0.5,0.5,68383,33838,102221,61332,36.09888169511478,0.6907095498571569,0.6282201739021644,0.6700238247755687,0.6279177725974153,0.5983049275258708,Lower both to 0.50
