entry_time,exit_time,direction,contracts,entry_price,exit_price,pnl,reason,stop_ticks
2019-05-07 17:00:00+00:00,2019-05-07 17:10:00+00:00,short,5,2892.5,2880.5,270.25,TARGET,24
2019-05-07 17:20:00+00:00,2019-05-07 17:25:00+00:00,long,5,2880.5,2874.5,-179.75,STOP,24
2019-05-07 17:45:00+00:00,2019-05-07 18:35:00+00:00,long,5,2876.0,2870.0,-179.75,STOP,24
2019-05-07 19:15:00+00:00,2019-05-07 19:40:00+00:00,short,5,2875.5,2863.5,270.25,TARGET,24
2019-05-07 19:45:00+00:00,2019-05-07 19:50:00+00:00,long,5,2864.5,2876.5,270.25,TARGET,24
2019-05-07 19:55:00+00:00,2019-05-07 19:55:00+00:00,short,5,2877.25,2883.25,-179.75,SESSION_FLAT,24
2019-05-08 13:40:00+00:00,2019-05-08 14:05:00+00:00,long,5,2875.75,2887.75,270.25,TARGET,24
2019-05-08 14:10:00+00:00,2019-05-08 14:35:00+00:00,long,5,2884.0,2878.0,-179.75,STOP,24
2019-05-08 14:40:00+00:00,2019-05-08 15:00:00+00:00,long,5,2879.0,2891.0,270.25,TARGET,24
2019-05-08 15:05:00+00:00,2019-05-08 15:35:00+00:00,short,5,2896.0,2884.0,270.25,TARGET,24
2019-05-08 15:45:00+00:00,2019-05-08 16:45:00+00:00,long,5,2884.75,2891.5,139.0,MAX_HOLD,24
2019-05-08 16:50:00+00:00,2019-05-08 17:10:00+00:00,short,5,2891.5,2897.5,-179.75,STOP,24
2019-05-08 17:15:00+00:00,2019-05-08 18:15:00+00:00,long,5,2892.5,2888.5,-129.75,MAX_HOLD,24
2019-05-08 18:20:00+00:00,2019-05-08 19:20:00+00:00,long,5,2889.0,2895.75,139.0,MAX_HOLD,24
2019-05-08 19:25:00+00:00,2019-05-08 19:55:00+00:00,short,5,2895.5,2880.5,345.25,SESSION_FLAT,24
2019-05-09 13:45:00+00:00,2019-05-09 14:00:00+00:00,short,5,2855.0,2843.0,270.25,TARGET,24
2019-05-09 14:35:00+00:00,2019-05-09 14:50:00+00:00,long,5,2839.25,2851.25,270.25,TARGET,24
2019-05-09 15:05:00+00:00,2019-05-09 16:05:00+00:00,long,5,2840.5,2847.5,145.25,MAX_HOLD,24
2019-05-09 16:10:00+00:00,2019-05-09 16:30:00+00:00,long,5,2847.5,2859.5,270.25,TARGET,24
2019-05-09 16:50:00+00:00,2019-05-09 17:50:00+00:00,long,5,2865.25,2873.75,182.75,MAX_HOLD,24
