entry_time,exit_time,direction,contracts,entry_price,exit_price,pnl,reason,stop_ticks
2019-05-07 19:55:00+00:00,2019-05-07 19:55:00+00:00,short,5,2877.25,2883.25,-179.75,SESSION_FLAT,18
2019-05-08 14:20:00+00:00,2019-05-08 14:35:00+00:00,short,5,2886.5,2879.75,139.0,TARGET,18
2019-05-09 15:55:00+00:00,2019-05-09 15:55:00+00:00,short,5,2847.0,2851.5,-142.25,STOP,18
2019-05-09 17:50:00+00:00,2019-05-09 17:50:00+00:00,short,5,2869.0,2873.5,-142.25,STOP,18
2019-05-09 18:25:00+00:00,2019-05-09 19:00:00+00:00,short,5,2875.25,2868.5,139.0,TARGET,18
2019-05-09 19:50:00+00:00,2019-05-09 19:55:00+00:00,short,5,2872.0,2871.5,-17.25,SESSION_FLAT,18
2019-05-10 16:05:00+00:00,2019-05-10 16:15:00+00:00,short,5,2837.25,2841.75,-142.25,STOP,18
2019-05-10 16:20:00+00:00,2019-05-10 16:20:00+00:00,short,5,2843.75,2848.25,-142.25,STOP,18
2019-05-10 19:05:00+00:00,2019-05-10 19:15:00+00:00,short,5,2875.5,2880.0,-142.25,STOP,18
2019-05-13 18:00:00+00:00,2019-05-13 18:05:00+00:00,short,5,2811.5,2816.0,-142.25,STOP,18
2019-05-13 18:10:00+00:00,2019-05-13 18:10:00+00:00,short,5,2815.0,2819.5,-142.25,STOP,18
2019-05-16 15:20:00+00:00,2019-05-16 15:20:00+00:00,short,5,2886.0,2879.25,139.0,TARGET,18
2019-05-16 15:25:00+00:00,2019-05-16 15:45:00+00:00,short,5,2888.0,2892.5,-142.25,STOP,18
2019-05-16 15:55:00+00:00,2019-05-16 16:20:00+00:00,short,5,2890.75,2895.25,-142.25,STOP,18
2019-05-17 17:15:00+00:00,2019-05-17 18:15:00+00:00,short,5,2877.75,2875.75,20.25,MAX_HOLD,18
2019-05-22 14:20:00+00:00,2019-05-22 15:00:00+00:00,short,5,2862.25,2855.5,139.0,TARGET,18
2019-05-22 15:20:00+00:00,2019-05-22 15:30:00+00:00,short,5,2857.75,2862.25,-142.25,STOP,18
2019-05-31 15:20:00+00:00,2019-05-31 15:25:00+00:00,short,5,2764.75,2769.25,-142.25,STOP,18
2019-05-31 15:35:00+00:00,2019-05-31 16:25:00+00:00,short,5,2768.75,2762.0,139.0,TARGET,18
2019-06-03 13:40:00+00:00,2019-06-03 13:50:00+00:00,short,5,2757.5,2750.75,139.0,TARGET,18
2019-06-03 14:30:00+00:00,2019-06-03 14:35:00+00:00,short,5,2756.0,2760.5,-142.25,STOP,18
2019-06-03 14:45:00+00:00,2019-06-03 14:45:00+00:00,short,5,2761.0,2765.5,-142.25,STOP,18
2019-06-03 14:55:00+00:00,2019-06-03 15:00:00+00:00,short,5,2757.5,2762.0,-142.25,STOP,18
2019-06-03 15:05:00+00:00,2019-06-03 15:20:00+00:00,short,5,2761.0,2754.25,139.0,TARGET,18
2019-06-03 18:20:00+00:00,2019-06-03 18:40:00+00:00,short,5,2748.5,2741.75,139.0,TARGET,18
2019-06-05 15:20:00+00:00,2019-06-05 15:25:00+00:00,short,5,2809.25,2813.75,-142.25,STOP,18
2019-06-05 15:40:00+00:00,2019-06-05 15:50:00+00:00,short,5,2815.25,2819.75,-142.25,STOP,18
2019-06-05 17:15:00+00:00,2019-06-05 17:15:00+00:00,short,5,2822.25,2815.5,139.0,TARGET,18
2019-06-05 17:20:00+00:00,2019-06-05 17:20:00+00:00,short,5,2824.75,2829.25,-142.25,STOP,18
2019-06-05 17:30:00+00:00,2019-06-05 17:40:00+00:00,short,5,2822.25,2826.75,-142.25,STOP,18
2019-06-05 17:50:00+00:00,2019-06-05 18:15:00+00:00,short,5,2824.0,2828.5,-142.25,STOP,18
2019-06-06 13:35:00+00:00,2019-06-06 13:45:00+00:00,short,5,2829.0,2833.5,-142.25,STOP,18
2019-06-06 13:55:00+00:00,2019-06-06 14:20:00+00:00,short,5,2831.25,2824.5,139.0,TARGET,18
2019-06-06 14:25:00+00:00,2019-06-06 14:40:00+00:00,short,5,2827.5,2832.0,-142.25,STOP,18
2019-06-06 14:55:00+00:00,2019-06-06 14:55:00+00:00,short,5,2832.0,2836.5,-142.25,STOP,18
