entry_time,exit_time,direction,contracts,entry_price,exit_price,pnl,reason,stop_ticks
2019-05-16 15:25:00+00:00,2019-05-16 15:45:00+00:00,short,5,2888.0,2894.0,-179.75,STOP,24
2019-05-16 15:50:00+00:00,2019-05-16 16:20:00+00:00,short,5,2891.25,2897.25,-179.75,STOP,24
2019-06-03 13:50:00+00:00,2019-06-03 14:05:00+00:00,short,5,2753.25,2741.25,270.25,TARGET,24
2019-06-04 16:55:00+00:00,2019-06-04 17:55:00+00:00,short,5,2792.75,2793.5,-48.5,MAX_HOLD,24
2019-06-05 17:15:00+00:00,2019-06-05 17:15:00+00:00,short,5,2822.25,2810.25,270.25,TARGET,24
2019-06-05 17:20:00+00:00,2019-06-05 18:15:00+00:00,short,5,2824.75,2830.75,-179.75,STOP,24
2019-06-06 14:50:00+00:00,2019-06-06 14:50:00+00:00,short,5,2830.0,2836.0,-179.75,STOP,24
2019-06-06 14:55:00+00:00,2019-06-06 14:55:00+00:00,short,5,2832.0,2838.0,-179.75,STOP,24
2019-06-06 15:20:00+00:00,2019-06-06 15:35:00+00:00,short,5,2833.75,2839.75,-179.75,STOP,24
2019-06-12 14:10:00+00:00,2019-06-12 15:10:00+00:00,short,5,2887.75,2881.25,132.75,MAX_HOLD,24
2019-06-13 19:50:00+00:00,2019-06-13 19:50:00+00:00,short,5,2885.5,2873.5,270.25,TARGET,24
2019-06-14 13:35:00+00:00,2019-06-14 13:40:00+00:00,short,5,2888.0,2876.0,270.25,TARGET,24
2019-06-14 13:50:00+00:00,2019-06-14 14:15:00+00:00,short,5,2886.75,2874.75,270.25,TARGET,24
2019-06-14 14:35:00+00:00,2019-06-14 15:35:00+00:00,short,5,2887.75,2890.75,-104.75,MAX_HOLD,24
2019-06-14 15:40:00+00:00,2019-06-14 16:05:00+00:00,short,5,2890.75,2878.75,270.25,TARGET,24
2019-06-14 16:10:00+00:00,2019-06-14 16:15:00+00:00,short,5,2883.0,2871.0,270.25,TARGET,24
2019-06-14 16:20:00+00:00,2019-06-14 16:25:00+00:00,short,5,2883.75,2871.75,270.25,TARGET,24
2019-06-14 16:30:00+00:00,2019-06-14 17:30:00+00:00,short,5,2889.0,2885.25,64.0,MAX_HOLD,24
2019-06-14 17:45:00+00:00,2019-06-14 17:45:00+00:00,short,5,3.95,9.95,-179.74999999999997,STOP,24
2019-06-14 17:50:00+00:00,2019-06-14 18:00:00+00:00,short,5,2887.75,2875.75,270.25,TARGET,24
2019-06-14 18:05:00+00:00,2019-06-14 18:10:00+00:00,short,5,2884.0,2890.0,-179.75,STOP,24
2019-06-14 18:15:00+00:00,2019-06-14 18:20:00+00:00,short,5,2885.5,2891.5,-179.75,STOP,24
2019-06-14 18:25:00+00:00,2019-06-14 18:40:00+00:00,short,5,2887.5,2875.5,270.25,TARGET,24
2019-06-14 18:45:00+00:00,2019-06-14 19:05:00+00:00,short,5,2887.75,2893.75,-179.75,STOP,24
2019-06-14 19:10:00+00:00,2019-06-14 19:10:00+00:00,short,5,2894.25,2882.25,270.25,TARGET,24
2019-06-14 19:15:00+00:00,2019-06-14 19:15:00+00:00,short,5,2890.25,2896.25,-179.75,STOP,24
2019-06-14 19:20:00+00:00,2019-06-14 19:25:00+00:00,short,5,2892.25,2898.25,-179.75,STOP,24
2019-06-14 19:30:00+00:00,2019-06-14 19:35:00+00:00,short,5,2893.25,2899.25,-179.75,STOP,24
2019-06-14 19:45:00+00:00,2019-06-14 19:45:00+00:00,short,5,2893.0,2881.0,270.25,TARGET,24
2019-06-14 19:50:00+00:00,2019-06-14 19:50:00+00:00,short,5,4.0,10.0,-179.75,STOP,24
2019-06-14 19:55:00+00:00,2019-06-14 19:55:00+00:00,short,5,2891.75,2891.25,-17.25,SESSION_FLAT,24
2019-06-17 13:35:00+00:00,2019-06-17 13:50:00+00:00,short,5,2892.0,2880.0,270.25,TARGET,24
2019-06-17 13:55:00+00:00,2019-06-17 13:55:00+00:00,short,5,2892.5,2898.5,-179.75,STOP,24
2019-06-17 14:00:00+00:00,2019-06-17 14:00:00+00:00,short,5,2899.0,2887.0,270.25,TARGET,24
2019-06-17 14:05:00+00:00,2019-06-17 14:15:00+00:00,short,5,2897.25,2885.25,270.25,TARGET,24
2019-06-17 14:20:00+00:00,2019-06-17 14:25:00+00:00,short,5,2893.0,2899.0,-179.75,STOP,24
2019-06-17 14:30:00+00:00,2019-06-17 14:30:00+00:00,short,5,2899.0,2887.0,270.25,TARGET,24
2019-06-17 14:35:00+00:00,2019-06-17 15:00:00+00:00,short,5,2900.0,2888.0,270.25,TARGET,24
2019-06-17 15:05:00+00:00,2019-06-17 15:45:00+00:00,short,5,2901.0,2889.0,270.25,TARGET,24
2019-06-17 15:50:00+00:00,2019-06-17 16:10:00+00:00,short,5,2898.0,2886.0,270.25,TARGET,24
2019-06-17 16:20:00+00:00,2019-06-17 17:20:00+00:00,short,5,2897.0,2894.75,26.5,MAX_HOLD,24
2019-06-17 17:40:00+00:00,2019-06-17 17:40:00+00:00,short,5,2894.0,2882.0,270.25,TARGET,24
2019-06-17 17:45:00+00:00,2019-06-17 18:00:00+00:00,short,5,2894.75,2900.75,-179.75,STOP,24
2019-06-17 18:05:00+00:00,2019-06-17 18:10:00+00:00,short,5,2896.25,2884.25,270.25,TARGET,24
2019-06-17 18:15:00+00:00,2019-06-17 19:10:00+00:00,short,5,2895.0,2883.0,270.25,TARGET,24
2019-06-17 19:15:00+00:00,2019-06-17 19:45:00+00:00,short,5,2894.0,2882.0,270.25,TARGET,24
2019-06-18 13:55:00+00:00,2019-06-18 13:55:00+00:00,short,5,2926.5,2932.5,-179.75,STOP,24
2019-06-18 14:00:00+00:00,2019-06-18 14:05:00+00:00,short,5,2930.5,2918.5,270.25,TARGET,24
2019-06-18 14:10:00+00:00,2019-06-18 14:50:00+00:00,short,5,2930.75,2918.75,270.25,TARGET,24
2019-06-18 14:55:00+00:00,2019-06-18 14:55:00+00:00,short,5,2926.5,2932.5,-179.75,STOP,24
2019-06-18 15:00:00+00:00,2019-06-18 15:25:00+00:00,short,5,2934.75,2922.75,270.25,TARGET,24
2019-06-18 15:40:00+00:00,2019-06-18 16:05:00+00:00,short,5,2928.75,2916.75,270.25,TARGET,24
2019-06-18 16:15:00+00:00,2019-06-18 16:20:00+00:00,short,5,2921.75,2909.75,270.25,TARGET,24
2019-06-18 16:45:00+00:00,2019-06-18 17:45:00+00:00,short,5,2922.25,2923.75,-67.25,MAX_HOLD,24
2019-06-18 18:20:00+00:00,2019-06-18 19:20:00+00:00,short,5,2926.25,2925.5,-11.0,MAX_HOLD,24
2019-06-19 13:55:00+00:00,2019-06-19 14:00:00+00:00,short,5,2919.75,2925.75,-179.75,STOP,24
2019-06-19 14:05:00+00:00,2019-06-19 14:35:00+00:00,short,5,2922.0,2910.0,270.25,TARGET,24
2019-06-19 14:45:00+00:00,2019-06-19 14:50:00+00:00,short,5,2916.75,2922.75,-179.75,STOP,24
2019-06-19 14:55:00+00:00,2019-06-19 15:55:00+00:00,short,5,2922.5,2924.0,-67.25,MAX_HOLD,24
2019-06-19 16:00:00+00:00,2019-06-19 16:40:00+00:00,short,5,2923.75,2911.75,270.25,TARGET,24
2019-06-19 16:50:00+00:00,2019-06-19 17:20:00+00:00,short,5,2921.75,2909.75,270.25,TARGET,24
2019-06-19 17:30:00+00:00,2019-06-19 17:35:00+00:00,short,5,2920.5,2908.5,270.25,TARGET,24
2019-06-19 17:40:00+00:00,2019-06-19 17:40:00+00:00,short,5,2921.25,2909.25,270.25,TARGET,24
2019-06-19 17:45:00+00:00,2019-06-19 17:45:00+00:00,short,5,4.0,10.0,-179.75,STOP,24
2019-06-19 17:50:00+00:00,2019-06-19 18:05:00+00:00,short,5,2919.75,2925.75,-179.75,STOP,24
2019-06-19 19:15:00+00:00,2019-06-19 19:55:00+00:00,short,5,2931.5,2929.0,32.75,SESSION_FLAT,24
2019-06-20 16:00:00+00:00,2019-06-20 16:10:00+00:00,short,5,2950.5,2938.5,270.25,TARGET,24
