entry_time,exit_time,direction,contracts,entry_price,exit_price,pnl,reason,stop_ticks,score
2019-05-07 17:05:00+00:00,2019-05-07 17:25:00+00:00,long,1,2889.0,2874.25,-79.7,CATASTOP,49,0.5460639186666164
2019-05-08 15:05:00+00:00,2019-05-08 16:05:00+00:00,long,1,2896.5,2886.0,-58.45,TIME_EXIT,72,0.5625741299636443
2019-05-08 16:15:00+00:00,2019-05-08 17:15:00+00:00,long,1,2884.5,2891.0,26.55,TIME_EXIT,72,0.5515640315562353
2019-05-09 13:35:00+00:00,2019-05-09 14:35:00+00:00,short,1,2856.0,2841.5,66.55,TIME_EXIT,68,0.5699805753461927
2019-05-09 17:00:00+00:00,2019-05-09 18:00:00+00:00,long,1,2866.75,2872.0,20.3,TIME_EXIT,72,0.5554068293077897
2019-05-10 16:45:00+00:00,2019-05-10 17:45:00+00:00,long,1,2856.25,2866.5,45.3,TIME_EXIT,72,0.5514718572620249
2019-05-10 17:50:00+00:00,2019-05-10 18:50:00+00:00,long,1,2866.75,2873.25,26.55,TIME_EXIT,62,0.5955900353301264
2019-05-13 13:35:00+00:00,2019-05-13 14:35:00+00:00,short,1,2831.75,2823.75,34.05,TIME_EXIT,72,0.5739133480672647
2019-05-13 14:45:00+00:00,2019-05-13 15:45:00+00:00,short,1,2822.5,2814.25,35.3,TIME_EXIT,72,0.5610118002726754
2019-05-14 13:40:00+00:00,2019-05-14 14:40:00+00:00,long,1,2825.0,2837.5,56.55,TIME_EXIT,72,0.5602112441578183
2019-05-14 14:45:00+00:00,2019-05-14 15:45:00+00:00,long,1,2838.0,2847.25,40.3,TIME_EXIT,63,0.6248083476890965
2019-05-15 15:00:00+00:00,2019-05-15 16:00:00+00:00,long,1,2847.25,2854.75,31.55,TIME_EXIT,72,0.5524749654278247
2019-05-15 16:35:00+00:00,2019-05-15 17:35:00+00:00,long,1,2851.75,2853.75,4.05,TIME_EXIT,44,0.5560592884826862
2019-05-16 13:50:00+00:00,2019-05-16 14:50:00+00:00,long,1,2871.75,2885.5,62.8,TIME_EXIT,45,0.5862188925623625
2019-05-16 14:55:00+00:00,2019-05-16 15:55:00+00:00,long,1,2885.75,2890.5,17.8,TIME_EXIT,42,0.5756818313124372
2019-05-17 16:10:00+00:00,2019-05-17 17:10:00+00:00,long,1,2870.25,2878.0,32.8,TIME_EXIT,56,0.5620526323629471
2019-05-20 15:10:00+00:00,2019-05-20 16:10:00+00:00,long,1,2848.0,2851.25,10.3,TIME_EXIT,65,0.5591527969069963
2019-05-20 16:35:00+00:00,2019-05-20 17:35:00+00:00,long,1,2849.0,2845.5,-23.45,TIME_EXIT,48,0.5560302468896163
2019-05-21 13:35:00+00:00,2019-05-21 14:35:00+00:00,long,1,2858.5,2862.75,15.3,TIME_EXIT,58,0.5810866711500744
2019-05-21 14:40:00+00:00,2019-05-21 15:40:00+00:00,long,1,2863.0,2863.75,-2.2,TIME_EXIT,60,0.5840507434267266
2019-05-22 13:35:00+00:00,2019-05-22 14:35:00+00:00,long,1,2855.75,2859.5,12.8,TIME_EXIT,36,0.5764463077898416
2019-05-22 15:00:00+00:00,2019-05-22 16:00:00+00:00,long,1,2857.75,2859.25,1.5499999999999998,TIME_EXIT,55,0.5536742713836316
2019-05-23 13:40:00+00:00,2019-05-23 14:40:00+00:00,short,1,2825.25,2824.25,-0.9500000000000002,TIME_EXIT,59,0.5824337270649634
2019-05-23 16:45:00+00:00,2019-05-23 17:45:00+00:00,long,1,2815.25,2813.25,-15.95,TIME_EXIT,44,0.5501192161434831
2019-05-24 13:35:00+00:00,2019-05-24 14:35:00+00:00,long,1,2839.0,2830.25,-49.7,TIME_EXIT,72,0.5583739042820999
2019-05-27 16:05:00+00:00,2019-05-28 13:30:00+00:00,long,1,2828.75,2831.75,9.05,TIME_EXIT,24,0.5669158973976166
2019-05-28 13:55:00+00:00,2019-05-28 14:55:00+00:00,short,1,2839.0,2827.75,50.3,TIME_EXIT,25,0.5563760739856533
2019-05-28 15:35:00+00:00,2019-05-28 16:35:00+00:00,long,1,2826.5,2831.75,20.3,TIME_EXIT,44,0.5526816901543652
2019-05-29 14:30:00+00:00,2019-05-29 15:30:00+00:00,short,1,2789.75,2778.25,51.55,TIME_EXIT,72,0.5658920253443012
2019-05-29 16:40:00+00:00,2019-05-29 17:40:00+00:00,long,1,2778.0,2783.25,20.3,TIME_EXIT,47,0.5535099739396484
2019-05-30 13:35:00+00:00,2019-05-30 14:35:00+00:00,long,1,2791.25,2798.5,30.3,TIME_EXIT,59,0.5746346224861483
2019-05-30 14:40:00+00:00,2019-05-30 15:00:00+00:00,long,1,2798.75,2788.25,-58.45,CATASTOP,40,0.5605219475326773
2019-05-31 15:10:00+00:00,2019-05-31 16:10:00+00:00,long,1,2761.5,2762.75,0.2999999999999998,TIME_EXIT,51,0.55221024691206
2019-05-31 16:25:00+00:00,2019-05-31 17:25:00+00:00,long,1,2762.5,2761.5,-10.95,TIME_EXIT,34,0.5600225142495278
2019-06-03 13:35:00+00:00,2019-06-03 14:35:00+00:00,long,1,2752.0,2759.25,30.3,TIME_EXIT,41,0.5617960052590238
2019-06-03 16:35:00+00:00,2019-06-03 17:35:00+00:00,long,1,2739.5,2738.5,-10.95,TIME_EXIT,52,0.5668057407979086
2019-06-04 14:00:00+00:00,2019-06-04 15:00:00+00:00,long,1,2769.75,2778.75,39.05,TIME_EXIT,72,0.5656680170834526
2019-06-04 15:05:00+00:00,2019-06-04 16:05:00+00:00,long,1,2779.25,2787.0,32.8,TIME_EXIT,58,0.6649757805933292
2019-06-05 13:35:00+00:00,2019-06-05 14:30:00+00:00,long,1,2821.5,2806.0,-83.45,CATASTOP,50,0.5684504632372882
2019-06-05 14:55:00+00:00,2019-06-05 15:55:00+00:00,long,1,2804.0,2814.0,44.05,TIME_EXIT,67,0.5605107502727813
2019-06-06 13:45:00+00:00,2019-06-06 14:45:00+00:00,long,1,2831.5,2830.25,-12.2,TIME_EXIT,48,0.5538918655140931
2019-06-07 13:35:00+00:00,2019-06-07 14:35:00+00:00,long,1,2856.5,2876.75,95.3,TIME_EXIT,53,0.5811210985342444
2019-06-07 14:40:00+00:00,2019-06-07 15:40:00+00:00,long,1,2877.0,2876.75,-7.2,TIME_EXIT,62,0.5794471928792058
2019-06-10 13:35:00+00:00,2019-06-10 14:35:00+00:00,long,1,2891.0,2896.0,19.05,TIME_EXIT,49,0.6018792364433716
2019-06-10 14:40:00+00:00,2019-06-10 15:40:00+00:00,long,1,2896.0,2901.75,22.8,TIME_EXIT,50,0.5942526344204582
2019-06-11 13:35:00+00:00,2019-06-11 14:35:00+00:00,long,1,2909.75,2899.5,-57.2,TIME_EXIT,58,0.5791537644774358
2019-06-11 16:30:00+00:00,2019-06-11 17:30:00+00:00,long,1,2884.25,2881.25,-20.95,TIME_EXIT,34,0.5501789454339407
2019-06-12 16:00:00+00:00,2019-06-12 17:00:00+00:00,long,1,2876.5,2881.5,19.05,TIME_EXIT,38,0.5575439889439402
2019-06-13 17:05:00+00:00,2019-06-13 18:05:00+00:00,short,1,2893.25,2892.0,0.2999999999999998,TIME_EXIT,29,0.5482005723557108
2019-06-14 13:40:00+00:00,2019-06-14 14:40:00+00:00,long,1,2883.5,2883.0,-8.45,TIME_EXIT,42,0.5532535693891903
2019-06-14 16:10:00+00:00,2019-06-14 17:10:00+00:00,long,1,2887.5,2889.5,4.05,TIME_EXIT,71,0.5515182428149331
