timestamp,action,direction,contracts,price,order_id,prediction_score,reason,pnl_usd,stop_order_id,target_order_id,cancelled_order_id
2026-01-09 10:05:00-06:00,ENTRY,LONG,1,6995.75,2210958786,0.8824214857746754,,,,,
2026-01-09 10:10:00-06:00,ENTRY,LONG,1,6999.5,2211027676,0.8754888390731697,,,,,
2026-01-09 10:15:00-06:00,ENTRY,LONG,1,6998.75,2211072264,0.8768213867510818,,,,,
2026-01-09 10:20:00-06:00,ENTRY,LONG,1,6997.5,2211114015,0.8838642627912665,,,,,
2026-01-09 10:25:00-06:00,ENTRY,LONG,1,6993.25,2211160142,0.8717448747404741,,,,,
2026-01-09 11:25:00-06:00,EXIT,,1,7008.75,2211160142,,target,73.76,2211160165,2211160187,2211160165
2026-01-09 11:30:00-06:00,ENTRY,LONG,1,7009.25,2211690774,0.9403572963845681,,,,,
2026-01-09 11:40:00-06:00,EXIT,,1,7005.0,2211690774,,stop,-24.990000000000002,2211690811,2211690835,2211690835
2026-01-09 11:45:00-06:00,ENTRY,LONG,1,7006.5,2211789437,0.9410511369986018,,,,,
2026-01-09 11:55:00-06:00,EXIT,,1,7002.75,2211789437,,stop,-22.490000000000002,2211789444,2211789461,2211789461
2026-01-09 12:00:00-06:00,ENTRY,LONG,1,7001.75,2211903695,0.9326410880022243,,,,,
2026-01-09 12:25:00-06:00,EXIT,,1,6998.5,2211903695,,stop,-19.990000000000002,2211903733,2211903799,2211903799
2026-01-09 12:30:00-06:00,ENTRY,LONG,1,7007.5,2212096658,0.9603030950446454,,,,,
2026-01-09 12:40:00-06:00,EXIT,,1,7013.5,2211114015,,target,76.26,2211114033,2211114051,2211114033
2026-01-09 12:45:00-06:00,ENTRY,LONG,1,7011.0,2212207357,0.9609560796126074,,,,,
2026-01-09 13:45:00-06:00,EXIT,,1,7014.25,2212096658,,target,30.009999999999998,2212096690,2212096721,2212096690
2026-01-09 13:50:00-06:00,EXIT,,1,7016.5,2210958786,,target,100.01,2210958839,2210958879,2210958839
2026-01-09 13:50:00-06:00,EXIT,,1,7016.75,2211072264,,target,86.26,2211072303,2211072330,2211072303
2026-01-09 13:55:00-06:00,ENTRY,LONG,1,7013.5,2212522850,0.9753521977777306,,,,,
2026-01-09 14:00:00-06:00,ENTRY,LONG,1,7014.5,2212552943,0.9817125439188192,,,,,
2026-01-09 14:05:00-06:00,ENTRY,LONG,1,7013.75,2212574791,0.9795471989281868,,,,,
2026-01-09 14:10:00-06:00,EXIT,,1,7012.25,2212552943,,stop,-14.99,2212552953,2212552975,2212552975
2026-01-09 14:15:00-06:00,ENTRY,LONG,1,7014.0,2212618512,0.9862553424833469,,,,,
2026-01-09 14:38:31.957767,EXIT,,1,7016.5,2211027676,,shutdown,81.26,,,
2026-01-09 14:38:31.957767,EXIT,,1,7016.5,2212207357,,shutdown,23.759999999999998,,,
2026-01-09 14:38:31.957767,EXIT,,1,7016.5,2212522850,,shutdown,11.26,,,
2026-01-09 14:38:31.957767,EXIT,,1,7016.5,2212574791,,shutdown,10.01,,,
2026-01-09 14:38:31.957767,EXIT,,1,7016.5,2212618512,,shutdown,8.76,,,
