timestamp,action,direction,contracts,price,order_id,prediction_score,reason,pnl_usd
2026-01-16 09:05:00-06:00,ENTRY,LONG,1,6986.5,2254366118,0.6376712523974628,,
2026-01-16 09:15:00-06:00,ENTRY,LONG,1,6975.75,2254642482,0.7505909972483576,,
2026-01-16 09:20:00-06:00,ENTRY,LONG,1,6985.25,2254781575,0.7141177548031165,,
2026-01-16 09:25:00-06:00,ENTRY,LONG,1,6976.25,2254927396,0.7716115453106647,,
2026-01-16 09:35:00-06:00,ENTRY,SHORT,1,6966.75,2255163128,0.5642413058742273,,
2026-01-16 09:50:00-06:00,ENTRY,SHORT,1,6973.25,2255470825,0.6600595629650295,,
2026-01-16 10:05:00-06:00,ENTRY,LONG,1,6984.0,2255716749,0.6629160955059711,,
2026-01-16 10:35:00-06:00,ENTRY,LONG,1,6989.5,2256054796,0.5893720942926172,,
2026-01-16 10:53:18.021166,EXIT,,1,6991.0,2254366118,,shutdown,18.759999999999998
2026-01-16 10:53:18.021166,EXIT,,1,6991.0,2254642482,,shutdown,72.51
2026-01-16 10:53:18.021166,EXIT,,1,6991.0,2254781575,,shutdown,25.009999999999998
2026-01-16 10:53:18.021166,EXIT,,1,6991.0,2254927396,,shutdown,70.01
2026-01-16 10:53:18.021166,EXIT,,1,6991.0,2255163128,,shutdown,-124.99
2026-01-16 10:53:18.021166,EXIT,,1,6991.0,2255470825,,shutdown,-92.49
2026-01-16 10:53:18.021166,EXIT,,1,6991.0,2255716749,,shutdown,31.259999999999998
2026-01-16 10:53:18.021166,EXIT,,1,6991.0,2256054796,,shutdown,3.76
