timestamp,action,direction,contracts,price,order_id,prediction_score,reason,pnl_usd
2026-01-09 08:45:00-06:00,ENTRY,LONG,1,6974.0,2209333437,0.8892832484583602,,
2026-01-09 08:50:00-06:00,ENTRY,LONG,1,6978.25,2209482049,0.8965482867717023,,
2026-01-09 08:55:00-06:00,EXIT,,1,6971.0,2209482049,,stop,-39.99
2026-01-09 09:00:00-06:00,ENTRY,LONG,1,6970.25,2209721091,0.8539717285348731,,
2026-01-09 09:05:00-06:00,EXIT,,1,6967.0,2209333437,,stop,-38.74
2026-01-09 09:05:00-06:00,EXIT,,1,6961.75,2209721091,,stop,-46.24
2026-01-09 09:10:00-06:00,ENTRY,LONG,1,6977.0,2210000299,0.869903778074267,,
2026-01-09 09:15:00-06:00,ENTRY,LONG,1,6980.0,2210102675,0.8447196428581919,,
2026-01-09 09:20:00-06:00,ENTRY,LONG,1,6989.25,2210212126,0.8329722764200731,,
2026-01-09 09:25:00-06:00,EXIT,,1,6998.0,2210000299,,target,101.26
2026-01-09 09:30:00-06:00,ENTRY,LONG,1,6997.0,2210410411,0.8387869575107119,,
2026-01-09 09:35:00-06:00,ENTRY,LONG,1,6992.25,2210484508,0.8279456303097203,,
2026-01-09 09:40:00-06:00,EXIT,,1,6985.5,2210410411,,stop,-61.24
2026-01-09 09:47:27.933584,EXIT,,1,6981.0,2210102675,,shutdown,1.2599999999999998
2026-01-09 09:47:27.933584,EXIT,,1,6981.0,2210212126,,shutdown,-44.99
2026-01-09 09:47:27.933584,EXIT,,1,6981.0,2210484508,,shutdown,-59.99
