timestamp,action,direction,contracts,price,order_id,prediction_score,reason,pnl_usd,stop_order_id,target_order_id,cancelled_order_id,entry_time,exit_time,entry_price,exit_price,pnl,exit_reason,duration_minutes
2026-01-12 08:30:00-06:00,ENTRY,LONG,1,6981.75,2217135478.0,0.9467266372340776,,,,,,,,,,,,
2026-01-12 08:35:00-06:00,ENTRY,LONG,1,6990.0,2217310262.0,0.9300367000918284,,,,,,,,,,,,
2026-01-12 08:40:00-06:00,EXIT,,1,6992.5,2217135478.0,,target,50.01,2217135756.0,2217135936.0,2217135756.0,,,,,,,
2026-01-12 08:45:00-06:00,ENTRY,LONG,1,6993.5,2217623504.0,0.9273205988283232,,,,,,,,,,,,
2026-01-12 08:50:00-06:00,ENTRY,LONG,1,6997.75,2217780677.0,0.9239462881684564,,,,,,,,,,,,
2026-01-12 08:55:00-06:00,EXIT,,1,7002.0,2217310262.0,,target,56.26,2217310584.0,2217310786.0,2217310584.0,,,,,,,
2026-01-12 09:00:00-06:00,ENTRY,LONG,1,6996.75,2218014742.0,0.9136288079364194,,,,,,,,,,,,
2026-01-12 09:05:00-06:00,ENTRY,LONG,1,6995.5,2218115150.0,0.921592196857825,,,,,,,,,,,,
2026-01-12 09:10:00-06:00,ENTRY,LONG,1,6996.5,2218221026.0,0.9317248708188328,,,,,,,,,,,,
2026-01-12 09:15:00-06:00,ENTRY,LONG,1,6997.75,2218313739.0,0.9338017985967906,,,,,,,,,,,,
2026-01-12 09:20:00-06:00,ENTRY,LONG,1,6999.0,2218412981.0,0.9295180804493344,,,,,,,,,,,,
2026-01-12 09:25:00-06:00,ENTRY,LONG,1,6999.25,2218482251.0,0.9311823047782828,,,,,,,,,,,,
2026-01-12 09:30:00-06:00,ENTRY,LONG,1,6995.0,2218589513.0,0.920382219803408,,,,,,,,,,,,
2026-01-12 09:35:00-06:00,ENTRY,LONG,1,6997.75,2218688981.0,0.9380151603565944,,,,,,,,,,,,
2026-01-12 09:40:00-06:00,ENTRY,LONG,1,6997.25,2218762572.0,0.930790210360502,,,,,,,,,,,,
2026-01-12 09:45:00-06:00,ENTRY,LONG,1,6998.25,2218851116.0,0.933703487729176,,,,,,,,,,,,
2026-01-12 09:50:00-06:00,ENTRY,LONG,1,7001.25,2218918166.0,0.934298452106152,,,,,,,,,,,,
2026-01-12 09:55:00-06:00,ENTRY,LONG,1,7003.0,2218990399.0,0.929651383532644,,,,,,,,,,,,
2026-01-12 10:00:00-06:00,ENTRY,LONG,1,7002.5,2219054642.0,0.9252434435917996,,,,,,,,,,,,
2026-01-12 10:05:00-06:00,EXIT,,1,7007.0,2217623504.0,,target,63.76,2217623619.0,2217623742.0,2217623619.0,,,,,,,
2026-01-12 10:10:00-06:00,ENTRY,LONG,1,7008.75,2219174396.0,0.9502029012837948,,,,,,,,,,,,
2026-01-12 10:15:00-06:00,EXIT,,1,7009.5,2218762572.0,,target,57.51,2218762665.0,2218762728.0,2218762665.0,,,,,,,
2026-01-12 10:15:00-06:00,EXIT,,1,7009.75,2218851116.0,,target,53.76,2218851153.0,2218851187.0,2218851153.0,,,,,,,
2026-01-12 10:20:00-06:00,ENTRY,LONG,1,7008.0,2219310073.0,0.934448739880448,,,,,,,,,,,,
2026-01-12 10:25:00-06:00,ENTRY,LONG,1,7006.25,2219364705.0,0.9307353531097996,,,,,,,,,,,,
2026-01-12 10:45:00-06:00,EXIT,,1,7011.0,2218115150.0,,target,73.76,2218115253.0,2218115347.0,2218115253.0,,,,,,,
2026-01-12 10:50:00-06:00,ENTRY,LONG,1,7011.0,2219640220.0,0.9431335652980272,,,,,,,,,,,,
2026-01-12 10:55:00-06:00,EXIT,,1,7012.25,2217780677.0,,target,68.76,2217780749.0,2217780794.0,2217780749.0,,,,,,,
2026-01-12 10:55:00-06:00,EXIT,,1,7012.0,2218014742.0,,target,72.51,2218014815.0,2218014880.0,2218014815.0,,,,,,,
2026-01-12 10:55:00-06:00,EXIT,,1,7012.25,2218221026.0,,target,75.01,2218221088.0,2218221142.0,2218221088.0,,,,,,,
2026-01-12 10:55:00-06:00,EXIT,,1,7012.0,2218589513.0,,target,81.26,2218589624.0,2218589732.0,2218589624.0,,,,,,,
2026-01-12 10:55:00-06:00,EXIT,,1,7012.25,2218918166.0,,target,51.26,2218918219.0,2218918271.0,2218918219.0,,,,,,,
2026-01-12 10:55:00-06:00,EXIT,,1,7012.25,2219054642.0,,target,45.01,2219054663.0,2219054703.0,2219054663.0,,,,,,,
2026-01-12 11:00:00-06:00,ENTRY,LONG,1,7010.75,2219736668.0,0.9450663885270414,,,,,,,,,,,,
2026-01-12 11:05:00-06:00,ENTRY,LONG,1,7008.0,2219780660.0,0.9312937413330604,,,,,,,,,,,,
2026-01-12 11:10:00-06:00,ENTRY,LONG,1,7010.0,2219827935.0,0.9503616622410888,,,,,,,,,,,,
2026-01-12 11:15:00-06:00,EXIT,,1,7007.25,2219640220.0,,stop,-22.49,2219640275.0,2219640324.0,2219640324.0,,,,,,,
2026-01-12 11:15:00-06:00,EXIT,,1,7007.25,2219736668.0,,stop,-21.24,2219736696.0,2219736726.0,2219736726.0,,,,,,,
2026-01-12 11:15:00-06:00,EXIT,,1,7006.5,2219827935.0,,stop,-21.24,2219827953.0,2219827968.0,2219827968.0,,,,,,,
2026-01-12 11:20:00-06:00,ENTRY,LONG,1,7008.25,2219910251.0,0.9485544468024802,,,,,,,,,,,,
2026-01-12 11:25:00-06:00,ENTRY,LONG,1,7009.5,2219949136.0,0.9542664728391635,,,,,,,,,,,,
2026-01-12 11:30:00-06:00,ENTRY,LONG,1,7007.5,2219983521.0,0.940347457819882,,,,,,,,,,,,
2026-01-12 11:35:00-06:00,EXIT,,1,7004.5,2219780660.0,,stop,-21.24,2219780709.0,2219780787.0,2219780787.0,,,,,,,
2026-01-12 11:35:00-06:00,EXIT,,1,7004.75,2219910251.0,,stop,-21.24,2219910273.0,2219910296.0,2219910296.0,,,,,,,
2026-01-12 11:35:00-06:00,EXIT,,1,7006.0,2219949136.0,,stop,-21.24,2219949179.0,2219949202.0,2219949202.0,,,,,,,
2026-01-12 12:00:00-06:00,EXIT,,1,7013.75,2218313739.0,,target,76.26,2218313844.0,2218313901.0,2218313844.0,,,,,,,
2026-01-12 12:00:00-06:00,EXIT,,1,7013.75,2218990399.0,,target,50.01,2218990472.0,2218990602.0,2218990472.0,,,,,,,
2026-01-12 12:00:00-06:00,EXIT,,1,7014.0,2219983521.0,,target,28.76,2219983551.0,2219983576.0,2219983551.0,,,,,,,
2026-01-12 12:05:00-06:00,EXIT,,1,7014.5,2218688981.0,,target,80.01,2218689075.0,2218689142.0,2218689075.0,,,,,,,
2026-01-12 12:20:00-06:00,EXIT,,1,7015.5,2218412981.0,,target,78.76,2218413084.0,2218413154.0,2218413084.0,,,,,,,
2026-01-12 12:20:00-06:00,EXIT,,1,7016.0,2218482251.0,,target,80.01,2218482278.0,2218482316.0,2218482278.0,,,,,,,
2026-01-12 12:20:00-06:00,EXIT,,1,7015.25,2219364705.0,,target,41.26,2219364728.0,2219364758.0,2219364728.0,,,,,,,
2026-01-12 12:45:00-06:00,EXIT,,1,7017.25,2219310073.0,,target,42.51,2219310103.0,2219310123.0,2219310103.0,,,,,,,
2026-01-12 12:50:00-06:00,EXIT,,1,7018.0,2219174396.0,,target,42.51,2219174441.0,2219174469.0,2219174441.0,,,,,,,
