entry_time,exit_time,direction,contracts,entry_price,exit_price,pnl,exit_reason,duration_minutes
2024-02-05 15:05:00+00:00,2024-02-05 15:20:00+00:00,LONG,1,4961.0,4950.5,-56.24,stop,15.0
2024-02-05 15:30:00+00:00,2024-02-05 15:45:00+00:00,LONG,1,4949.25,4938.25,-58.74,stop,15.0
2024-02-05 15:35:00+00:00,2024-02-05 15:45:00+00:00,LONG,1,4949.5,4939.0,-56.24,stop,10.0
2024-02-05 16:55:00+00:00,2024-02-05 17:30:00+00:00,LONG,1,4955.75,4965.5,45.01,target,35.0
2024-02-05 17:00:00+00:00,2024-02-05 17:30:00+00:00,LONG,1,4956.0,4965.5,43.76,target,30.0
2024-02-05 17:05:00+00:00,2024-02-05 17:40:00+00:00,LONG,1,4957.75,4967.0,42.51,target,35.0
2024-02-08 15:15:00+00:00,2024-02-08 15:45:00+00:00,LONG,1,5011.25,5006.25,-28.740000000000002,stop,30.0
2024-02-08 14:45:00+00:00,2024-02-08 16:30:00+00:00,LONG,1,5010.0,5005.0,-28.740000000000002,stop,105.0
2024-02-08 15:30:00+00:00,2024-02-08 20:30:00+00:00,LONG,1,5009.25,5017.75,38.76,target,300.0
2024-02-08 15:25:00+00:00,2024-02-09 14:30:00+00:00,LONG,1,5010.0,5018.75,40.01,target,1385.0
2024-02-12 19:25:00+00:00,2024-02-13 14:30:00+00:00,LONG,1,5041.5,5034.0,-41.24,stop,1145.0
2024-02-12 19:35:00+00:00,2024-02-13 14:30:00+00:00,LONG,1,5041.0,5033.5,-41.24,stop,1135.0
2024-02-13 16:10:00+00:00,2024-02-13 17:15:00+00:00,LONG,1,4983.75,4975.75,-43.74,stop,65.0
2024-02-13 16:05:00+00:00,2024-02-13 17:30:00+00:00,LONG,1,4982.0,4974.0,-43.74,stop,85.0
2024-02-13 15:45:00+00:00,2024-02-13 18:05:00+00:00,LONG,1,4979.5,4970.5,-48.74,stop,140.0
2024-02-13 15:50:00+00:00,2024-02-13 18:05:00+00:00,LONG,1,4978.75,4970.25,-46.24,stop,135.0
2024-02-13 16:00:00+00:00,2024-02-13 18:05:00+00:00,LONG,1,4977.25,4969.0,-44.99,stop,125.0
2024-02-13 15:40:00+00:00,2024-02-13 18:40:00+00:00,LONG,1,4978.0,4968.25,-52.49,stop,180.0
2024-02-13 15:35:00+00:00,2024-02-13 19:05:00+00:00,LONG,1,4977.5,4961.0,-86.24,stop,210.0
2024-02-13 15:00:00+00:00,2024-02-13 19:15:00+00:00,LONG,1,4967.0,4952.0,-78.74,stop,255.0
2024-02-14 17:05:00+00:00,2024-02-14 17:30:00+00:00,LONG,1,4975.0,4989.75,70.01,target,25.0
2024-02-16 14:55:00+00:00,2024-02-16 15:00:00+00:00,LONG,1,5021.5,5014.25,-39.99,stop,5.0
2024-02-16 15:05:00+00:00,2024-02-16 15:50:00+00:00,LONG,1,5022.75,5037.0,67.51,target,45.0
2024-02-16 15:30:00+00:00,2024-02-16 16:15:00+00:00,LONG,1,5025.75,5042.0,77.51,target,45.0
2024-02-16 15:15:00+00:00,2024-02-16 16:20:00+00:00,LONG,1,5028.0,5043.25,72.51,target,65.0
2024-02-16 15:35:00+00:00,2024-02-16 16:20:00+00:00,LONG,1,5026.25,5042.25,76.26,target,45.0
2024-02-16 15:55:00+00:00,2024-02-16 17:00:00+00:00,LONG,1,5033.75,5050.25,78.76,target,65.0
2024-02-16 18:05:00+00:00,2024-02-16 18:25:00+00:00,LONG,1,5035.5,5043.75,37.51,target,20.0
2024-02-16 18:10:00+00:00,2024-02-16 18:25:00+00:00,LONG,1,5035.75,5044.0,37.51,target,15.0
2024-02-16 19:55:00+00:00,2024-02-16 20:40:00+00:00,LONG,1,5029.25,5022.75,-36.24,stop,45.0
2024-02-16 20:45:00+00:00,2024-02-20 14:30:00+00:00,LONG,1,5023.0,5014.25,-47.49,stop,5385.0
2024-02-16 20:55:00+00:00,2024-02-20 14:30:00+00:00,LONG,1,5020.0,5010.75,-49.99,stop,5375.0
