entry_time,exit_time,direction,contracts,entry_price,exit_price,pnl,exit_reason,duration_minutes
2026-01-02 03:05:00+00:00,2026-01-02 03:40:00+00:00,LONG,1,6919.0,6922.75,15.01,target,35.0
2026-01-02 04:00:00+00:00,2026-01-02 05:00:00+00:00,LONG,1,6922.75,6920.75,-13.74,stop,60.0
2026-01-02 05:40:00+00:00,2026-01-02 06:00:00+00:00,LONG,1,6922.5,6925.5,11.26,target,20.0
2026-01-02 06:20:00+00:00,2026-01-02 06:45:00+00:00,LONG,1,6925.25,6923.75,-11.24,stop,25.0
2026-01-02 07:10:00+00:00,2026-01-02 08:00:00+00:00,LONG,1,6921.0,6923.75,10.01,target,50.0
2026-01-02 08:20:00+00:00,2026-01-02 08:50:00+00:00,LONG,1,6926.5,6931.25,20.009999999999998,target,30.0
2026-01-02 09:00:00+00:00,2026-01-02 12:10:00+00:00,LONG,1,6933.25,6929.25,-23.740000000000002,stop,190.0
2026-01-02 12:15:00+00:00,2026-01-02 13:25:00+00:00,LONG,1,6930.75,6928.0,-17.490000000000002,stop,70.0
2026-01-02 14:40:00+00:00,2026-01-02 14:45:00+00:00,SHORT,1,6919.5,6927.0,-41.24,stop,5.0
2026-01-02 15:20:00+00:00,2026-01-02 15:30:00+00:00,SHORT,1,6890.5,6905.5,-78.74,stop,10.0
2026-01-02 15:35:00+00:00,2026-01-02 16:05:00+00:00,SHORT,1,6906.5,6876.75,145.01,target,30.0
2026-01-02 16:10:00+00:00,2026-01-02 19:35:00+00:00,SHORT,1,6887.5,6907.25,-102.49,stop,205.0
2026-01-02 19:40:00+00:00,2026-01-05 06:55:00+00:00,SHORT,1,6904.5,6915.5,-58.74,stop,3555.0
2026-01-05 08:45:00+00:00,2026-01-05 09:25:00+00:00,LONG,1,6917.75,6913.5,-24.990000000000002,stop,40.0
2026-01-05 11:05:00+00:00,2026-01-05 12:00:00+00:00,LONG,1,6919.0,6924.5,23.759999999999998,target,55.0
2026-01-05 12:20:00+00:00,2026-01-05 12:40:00+00:00,LONG,1,6922.5,6918.75,-22.490000000000002,stop,20.0
2026-01-05 17:25:00+00:00,2026-01-05 18:15:00+00:00,LONG,1,6952.25,6946.5,-32.49,stop,50.0
