timestamp,action,direction,contracts,price,order_id,prediction_score,reason,pnl_usd,stop_order_id,target_order_id,cancelled_order_id
2026-01-15 10:30:00-06:00,ENTRY,SHORT,1,7008.5,2247000583,0.7519736706356592,,,,,
2026-01-15 10:35:00-06:00,ENTRY,SHORT,1,7011.5,2247059585,0.6108668105675336,,,,,
2026-01-15 10:40:00-06:00,ENTRY,SHORT,1,7012.75,2247096926,0.5666365537766272,,,,,
2026-01-15 10:45:00-06:00,ENTRY,SHORT,1,7014.0,2247147374,0.694644509326239,,,,,
2026-01-15 10:50:00-06:00,ENTRY,SHORT,1,7013.75,2247212136,0.7757620804765033,,,,,
2026-01-15 10:55:00-06:00,ENTRY,SHORT,1,7013.0,2247258579,0.6462951079876039,,,,,
2026-01-15 11:00:00-06:00,ENTRY,SHORT,1,7016.5,2247304315,0.6499983233994232,,,,,
2026-01-15 11:05:00-06:00,ENTRY,SHORT,1,7016.25,2247342034,0.5753487315408857,,,,,
2026-01-15 11:10:00-06:00,ENTRY,SHORT,1,7012.75,2247385169,0.8118975796313153,,,,,
2026-01-15 11:15:00-06:00,ENTRY,SHORT,1,7013.25,2247442895,0.7705333400562702,,,,,
2026-01-15 11:20:00-06:00,ENTRY,SHORT,1,7011.0,2247480518,0.6710162899699064,,,,,
2026-01-15 11:25:00-06:00,ENTRY,SHORT,1,7007.25,2247529911,0.760507869756409,,,,,
2026-01-15 11:30:00-06:00,ENTRY,SHORT,1,7006.5,2247588775,0.6182725029415532,,,,,
2026-01-15 11:35:00-06:00,ENTRY,LONG,1,7007.25,2247630787,0.63358279360385,,,,,
2026-01-15 11:40:00-06:00,ENTRY,SHORT,1,7010.0,2247664094,0.6986661310920886,,,,,
2026-01-15 11:45:00-06:00,ENTRY,SHORT,1,7008.75,2247718452,0.5661970955141297,,,,,
2026-01-15 11:50:00-06:00,ENTRY,SHORT,1,7006.75,2247755234,0.5975450855309267,,,,,
2026-01-15 11:55:00-06:00,EXIT,,1,7003.0,2247342034,,target,62.51,2247342059,2247342080,2247342059
2026-01-15 12:00:00-06:00,ENTRY,LONG,1,7008.0,2247844051,0.5183214427410548,,,,,
2026-01-15 12:05:00-06:00,ENTRY,SHORT,1,7009.75,2247890044,0.4338615259215303,,,,,
2026-01-15 12:10:00-06:00,ENTRY,SHORT,1,7008.25,2247936374,0.6254711096074368,,,,,
2026-01-15 12:15:00-06:00,ENTRY,LONG,1,7008.25,2247969179,0.40562451838090363,,,,,
2026-01-15 12:20:00-06:00,ENTRY,SHORT,1,7010.0,2248009341,0.32511815206674255,,,,,
2026-01-15 12:25:00-06:00,ENTRY,SHORT,1,7011.5,2248039833,0.4401228801359731,,,,,
2026-01-15 12:34:23.187462,EXIT,,1,7011.5,2247000583,,shutdown,-18.740000000000002,,,
2026-01-15 12:34:23.187462,EXIT,,1,7011.5,2247059585,,shutdown,-3.74,,,
2026-01-15 12:34:23.187462,EXIT,,1,7011.5,2247096926,,shutdown,2.51,,,
2026-01-15 12:34:23.187462,EXIT,,1,7011.5,2247147374,,shutdown,8.76,,,
2026-01-15 12:34:23.187462,EXIT,,1,7011.5,2247212136,,shutdown,7.51,,,
2026-01-15 12:34:23.187462,EXIT,,1,7011.5,2247258579,,shutdown,3.76,,,
2026-01-15 12:34:23.187462,EXIT,,1,7011.5,2247304315,,shutdown,21.259999999999998,,,
2026-01-15 12:34:23.187462,EXIT,,1,7011.5,2247385169,,shutdown,2.51,,,
2026-01-15 12:34:23.187462,EXIT,,1,7011.5,2247442895,,shutdown,5.01,,,
2026-01-15 12:34:23.187462,EXIT,,1,7011.5,2247480518,,shutdown,-6.24,,,
2026-01-15 12:34:23.187462,EXIT,,1,7011.5,2247529911,,shutdown,-24.990000000000002,,,
2026-01-15 12:34:23.187462,EXIT,,1,7011.5,2247588775,,shutdown,-28.740000000000002,,,
2026-01-15 12:34:23.187462,EXIT,,1,7011.5,2247630787,,shutdown,17.509999999999998,,,
2026-01-15 12:34:23.187462,EXIT,,1,7011.5,2247664094,,shutdown,-11.24,,,
2026-01-15 12:34:23.187462,EXIT,,1,7011.5,2247718452,,shutdown,-17.490000000000002,,,
2026-01-15 12:34:23.187462,EXIT,,1,7011.5,2247755234,,shutdown,-27.490000000000002,,,
2026-01-15 12:34:23.187462,EXIT,,1,7011.5,2247844051,,shutdown,13.76,,,
2026-01-15 12:34:23.187462,EXIT,,1,7011.5,2247890044,,shutdown,-12.49,,,
2026-01-15 12:34:23.187462,EXIT,,1,7011.5,2247936374,,shutdown,-19.990000000000002,,,
2026-01-15 12:34:23.187462,EXIT,,1,7011.5,2247969179,,shutdown,12.51,,,
2026-01-15 12:34:23.187462,EXIT,,1,7011.5,2248009341,,shutdown,-11.24,,,
2026-01-15 12:34:23.187462,EXIT,,1,7011.5,2248039833,,shutdown,-3.74,,,
