date,daily_pnl,trades,avg_trade,wins,win_rate,cumulative_pnl,meets_150,drawdown
2026-01-02,76.96428571428581,13,5.920329670329678,5,0.38461538461538464,76.96428571428581,False,0.0
2026-01-04,91.07142857142858,1,91.07142857142858,1,1.0,168.0357142857144,False,0.0
2026-01-05,452.67857142857144,4,113.16964285714286,4,1.0,620.7142857142858,True,0.0
2026-01-06,313.125,5,62.625,4,0.8,933.8392857142858,True,0.0
2026-01-07,157.76785714285714,6,26.294642857142858,4,0.6666666666666666,1091.607142857143,True,0.0
2026-01-08,245.7142857142857,12,20.476190476190474,7,0.5833333333333334,1337.3214285714287,True,0.0
2026-01-09,748.6607142857142,8,93.58258928571428,6,0.75,2085.982142857143,True,0.0
2026-01-11,75.44642857142857,1,75.44642857142857,1,1.0,2161.4285714285716,False,0.0
2026-01-12,173.48214285714286,9,19.275793650793652,3,0.3333333333333333,2334.910714285714,True,0.0
2026-01-13,1061.875,14,75.84821428571429,10,0.7142857142857143,3396.785714285714,True,0.0
2026-01-14,340.44642857142856,17,20.02626050420168,8,0.47058823529411764,3737.2321428571427,True,0.0
2026-01-15,716.7857142857142,13,55.137362637362635,8,0.6153846153846154,4454.017857142857,True,0.0
2026-01-16,417.94642857142856,7,59.70663265306122,5,0.7142857142857143,4871.964285714285,True,0.0
2026-01-18,389.2857142857143,2,194.64285714285714,2,1.0,5261.25,True,0.0
2026-01-19,-162.85714285714292,9,-18.095238095238102,2,0.2222222222222222,5098.392857142857,False,-162.85714285714312
2026-01-20,3107.857142857143,34,91.4075630252101,24,0.7058823529411765,8206.25,True,0.0
2026-01-21,87.14285714285714,11,7.922077922077921,5,0.45454545454545453,8293.392857142857,False,0.0
2026-01-22,922.2321428571429,13,70.94093406593407,8,0.6153846153846154,9215.625,True,0.0
2026-01-23,66.69642857142858,8,8.337053571428573,4,0.5,9282.32142857143,False,0.0
2026-01-25,775.8928571428572,4,193.9732142857143,4,1.0,10058.214285714286,True,0.0
2026-01-26,-304.10714285714283,9,-33.78968253968254,2,0.2222222222222222,9754.107142857143,False,-304.1071428571431
2026-01-28,676.1607142857142,12,56.34672619047618,7,0.5833333333333334,10430.267857142857,True,0.0
2026-01-29,1807.5,42,43.035714285714285,21,0.5,12237.767857142857,True,0.0
2026-01-30,3461.5178571428573,62,55.83093317972351,33,0.532258064516129,15699.285714285714,True,0.0
