date,daily_pnl,trades,avg_trade,wins,win_rate,cumulative_pnl,meets_150,drawdown
2025-12-01,132.14285714285714,6,22.023809523809522,3,0.5,132.14285714285714,False,0.0
2025-12-02,56.51785714285717,9,6.279761904761908,4,0.4444444444444444,188.6607142857143,False,0.0
2025-12-03,1002.6785714285714,5,200.53571428571428,5,1.0,1191.3392857142858,True,0.0
2025-12-04,931.3392857142858,11,84.6672077922078,7,0.6363636363636364,2122.6785714285716,True,0.0
2025-12-05,274.19642857142856,8,34.27455357142857,4,0.5,2396.875,True,0.0
2025-12-08,740.5357142857143,8,92.56696428571429,6,0.75,3137.410714285714,True,0.0
2025-12-09,263.57142857142856,4,65.89285714285714,3,0.75,3400.9821428571427,True,0.0
2025-12-10,1131.1607142857142,10,113.11607142857142,5,0.5,4532.142857142857,True,0.0
2025-12-11,1085.8035714285713,16,67.86272321428571,8,0.5,5617.946428571428,True,0.0
2025-12-12,1104.9107142857144,16,69.05691964285715,9,0.5625,6722.857142857143,True,0.0
2025-12-15,1495.625,13,115.04807692307692,9,0.6923076923076923,8218.482142857143,True,0.0
2025-12-16,460.44642857142856,16,28.777901785714285,7,0.4375,8678.928571428572,True,0.0
2025-12-17,2446.25,18,135.90277777777777,13,0.7222222222222222,11125.178571428572,True,0.0
2025-12-18,778.3035714285714,6,129.7172619047619,5,0.8333333333333334,11903.482142857143,True,0.0
