combo,window,meta_threshold,primary_long,primary_short,require_meta_for_trade,max_trades_per_day,trades_count,total_pnl_usd,max_drawdown_usd,profit_factor,win_rate,avg_trade_usd,passes_constraints
m0.35_L0.28_S0.48_rm1_mtd4,ytd_2026_jan_apr,0.35,0.28,0.48,True,4,16,3392.948226270162,49.9800000000032,68.88611897299243,0.9375,212.05926414188514,True
m0.35_L0.28_S0.48_rm1_mtd6,ytd_2026_jan_apr,0.35,0.28,0.48,True,6,16,3392.948226270162,49.9800000000032,68.88611897299243,0.9375,212.05926414188514,True
m0.35_L0.28_S0.48_rm1_mtd8,ytd_2026_jan_apr,0.35,0.28,0.48,True,8,16,3392.948226270162,49.9800000000032,68.88611897299243,0.9375,212.05926414188514,True
m0.35_L0.28_S0.48_rm1_mtd12,ytd_2026_jan_apr,0.35,0.28,0.48,True,12,16,3392.948226270162,49.9800000000032,68.88611897299243,0.9375,212.05926414188514,True
m0.35_L0.28_S0.53_rm1_mtd4,ytd_2026_jan_apr,0.35,0.28,0.53,True,4,16,3392.948226270162,49.9800000000032,68.88611897299243,0.9375,212.05926414188514,True
m0.35_L0.28_S0.53_rm1_mtd6,ytd_2026_jan_apr,0.35,0.28,0.53,True,6,16,3392.948226270162,49.9800000000032,68.88611897299243,0.9375,212.05926414188514,True
m0.35_L0.28_S0.53_rm1_mtd8,ytd_2026_jan_apr,0.35,0.28,0.53,True,8,16,3392.948226270162,49.9800000000032,68.88611897299243,0.9375,212.05926414188514,True
m0.35_L0.28_S0.53_rm1_mtd12,ytd_2026_jan_apr,0.35,0.28,0.53,True,12,16,3392.948226270162,49.9800000000032,68.88611897299243,0.9375,212.05926414188514,True
m0.35_L0.28_S0.58_rm1_mtd4,ytd_2026_jan_apr,0.35,0.28,0.58,True,4,14,3303.069137436475,49.9800000000032,67.08781787587985,0.9285714285714286,235.93350981689107,True
m0.35_L0.28_S0.58_rm1_mtd6,ytd_2026_jan_apr,0.35,0.28,0.58,True,6,14,3303.069137436475,49.9800000000032,67.08781787587985,0.9285714285714286,235.93350981689107,True
m0.35_L0.28_S0.58_rm1_mtd8,ytd_2026_jan_apr,0.35,0.28,0.58,True,8,14,3303.069137436475,49.9800000000032,67.08781787587985,0.9285714285714286,235.93350981689107,True
m0.35_L0.28_S0.58_rm1_mtd12,ytd_2026_jan_apr,0.35,0.28,0.58,True,12,14,3303.069137436475,49.9800000000032,67.08781787587985,0.9285714285714286,235.93350981689107,True
m0.35_L0.33_S0.48_rm1_mtd4,ytd_2026_jan_apr,0.35,0.33,0.48,True,4,14,3665.0247144085524,49.9800000000032,74.32982621865851,0.9285714285714286,261.7874796006109,True
m0.35_L0.33_S0.48_rm1_mtd6,ytd_2026_jan_apr,0.35,0.33,0.48,True,6,14,3665.0247144085524,49.9800000000032,74.32982621865851,0.9285714285714286,261.7874796006109,True
m0.35_L0.33_S0.48_rm1_mtd8,ytd_2026_jan_apr,0.35,0.33,0.48,True,8,14,3665.0247144085524,49.9800000000032,74.32982621865851,0.9285714285714286,261.7874796006109,True
m0.35_L0.33_S0.48_rm1_mtd12,ytd_2026_jan_apr,0.35,0.33,0.48,True,12,14,3665.0247144085524,49.9800000000032,74.32982621865851,0.9285714285714286,261.7874796006109,True
m0.35_L0.33_S0.53_rm1_mtd4,ytd_2026_jan_apr,0.35,0.33,0.53,True,4,14,3665.0247144085524,49.9800000000032,74.32982621865851,0.9285714285714286,261.7874796006109,True
m0.35_L0.33_S0.53_rm1_mtd6,ytd_2026_jan_apr,0.35,0.33,0.53,True,6,14,3665.0247144085524,49.9800000000032,74.32982621865851,0.9285714285714286,261.7874796006109,True
m0.35_L0.33_S0.53_rm1_mtd8,ytd_2026_jan_apr,0.35,0.33,0.53,True,8,14,3665.0247144085524,49.9800000000032,74.32982621865851,0.9285714285714286,261.7874796006109,True
m0.35_L0.33_S0.53_rm1_mtd12,ytd_2026_jan_apr,0.35,0.33,0.53,True,12,14,3665.0247144085524,49.9800000000032,74.32982621865851,0.9285714285714286,261.7874796006109,True
m0.35_L0.33_S0.58_rm1_mtd4,ytd_2026_jan_apr,0.35,0.33,0.58,True,4,13,3163.438524427949,49.9800000000032,64.29408812380849,0.9230769230769231,243.34142495599605,True
m0.35_L0.33_S0.58_rm1_mtd6,ytd_2026_jan_apr,0.35,0.33,0.58,True,6,13,3163.438524427949,49.9800000000032,64.29408812380849,0.9230769230769231,243.34142495599605,True
m0.35_L0.33_S0.58_rm1_mtd8,ytd_2026_jan_apr,0.35,0.33,0.58,True,8,13,3163.438524427949,49.9800000000032,64.29408812380849,0.9230769230769231,243.34142495599605,True
