month,n_train,n_test,accuracy,balanced_accuracy,auc,pnl,avg_pnl,sharpe,max_dd,target_rate,positive
Aug 2024,1194,15,1.0,1.0,1.0,458.47395846653063,30.564930564435375,3.978008848200093,-464.0216196938938,0.6666666666666666,True
Sep 2024,1209,15,0.7333333333333333,0.8571428571428572,0.8571428571428571,786.9969774541343,52.46646516360895,21.934111840889365,-65.04983047045194,0.9333333333333333,True
Oct 2024,1224,37,0.918918918918919,0.8172043010752688,0.967741935483871,2467.796680640066,66.69720758486665,14.759705674618713,-245.25184433547383,0.8378378378378378,True
Nov 2024,1261,9,1.0,1.0,1.0,-324.5533988095831,-36.06148875662034,-3.456146627533411,-298.2047888994412,0.4444444444444444,False
Dec 2024,1270,7,0.42857142857142855,0.3,0.2,356.42641242548314,50.91805891792616,6.283380610262683,-269.67728987334783,0.7142857142857143,True
Jan 2025,1277,19,0.7368421052631579,0.6928571428571428,0.5571428571428572,979.7396107155002,51.56524266923685,6.982170201169789,-215.79205445146272,0.7368421052631579,True
