exp_id,model_name,cv_auc,status,signals,pnl,sharpe,win_rate,mean_pnl
exhaustive_exp_00001,,,success,624,-1212.562352919414,-2.7818761292163114,0.41346153846153844,-1.9432088989093173
exhaustive_exp_00002,,,success,624,-1212.562352919414,-2.7818761292163114,0.41346153846153844,-1.9432088989093173
exhaustive_exp_00003,,,success,624,-1212.562352919414,-2.7818761292163114,0.41346153846153844,-1.9432088989093173
exhaustive_exp_00004,,,success,624,-1212.562352919414,-2.7818761292163114,0.41346153846153844,-1.9432088989093173
exhaustive_exp_00005,,,success,624,-1212.562352919414,-2.7818761292163114,0.41346153846153844,-1.9432088989093173
exhaustive_exp_00006,,,success,624,-1212.562352919414,-2.7818761292163114,0.41346153846153844,-1.9432088989093173
exhaustive_exp_00007,,,success,624,-1212.562352919414,-2.7818761292163114,0.41346153846153844,-1.9432088989093173
exhaustive_exp_00008,,,success,624,-1212.562352919414,-2.7818761292163114,0.41346153846153844,-1.9432088989093173
exhaustive_exp_00009,,,success,624,-1212.562352919414,-2.7818761292163114,0.41346153846153844,-1.9432088989093173
exhaustive_exp_00010,,,success,624,-1212.562352919414,-2.7818761292163114,0.41346153846153844,-1.9432088989093173
