batch,exp_id,status,architecture,labeling_method,sample_weight,cv_method,calibration,feature_set,median_test_auc,median_train_auc,std_test_auc,median_pr_auc,median_brier,pct_signals_055,pct_signals_060,est_trades_per_day,train_test_gap,n_successful_folds,score
batch1,batch1_exp_00001,SUCCESS,trend_scanning_adaptive,trend_scanning_adaptive,uniqueness,kfold,none,baseline,0.5291868495387029,0.9303500852097611,0.02724963738010567,0.6131415514511325,0.2500477074145346,0.7363128491620111,0.5854748603351956,11.52097902097902,0.4113053954145112,5,0.6120372493880262
batch1,batch1_exp_00002,SUCCESS,triple_barrier,triple_barrier,uniqueness,kfold,none,baseline,0.4919698173766116,0.7305868308961178,0.02126948475842105,0.5005985528509824,0.25489780736478873,0.09749670619235837,0.017127799736495388,3.867595818815331,0.232938471278968,5,0.33418057290291026
batch1,batch1_exp_00003,SUCCESS,trend_scanning,trend_scanning,uniqueness_decay,kfold,none,baseline,0.505261672053269,0.8931941660997629,0.022731405386710597,0.49885129025942704,0.2613444542773484,0.33663366336633666,0.20242024202420242,5.444839857651245,0.37553717716128265,5,0.43781046857849604
batch1,batch1_exp_00004,SUCCESS,triple_barrier,triple_barrier,uniqueness_decay,kfold,none,baseline_fracdiff,0.49822316986496096,0.750775819328046,0.01189710302856248,0.3914140951404488,0.24004005161842948,0.004384042086804033,0.0,0.1738374619730552,0.23654178211008747,5,0.3006875187536982
batch1,batch1_exp_00005,SUCCESS,triple_barrier,triple_barrier,uniqueness_decay,kfold,none,baseline,0.5257060743684361,0.725341459598535,0.012138768836838443,0.5026811947120361,0.25161696210064594,0.21535087719298246,0.06707584392810172,8.699889258028794,0.2035390019074857,5,0.4015639954982546
batch1,batch1_exp_00006,SUCCESS,triple_barrier,triple_barrier,uniform,kfold,none,baseline_fracdiff,0.5046685763010923,0.8077181669729058,0.012139928572911456,0.3003532230213801,0.2098077615402324,0.0,0.0,0.0,0.3058394478646796,5,0.30280114578065537
batch1,batch1_exp_00007,SUCCESS,trend_scanning,trend_scanning,uniqueness,kfold,none,baseline,0.4987251402345742,0.9218042093562588,0.032616556863809466,0.5133147989084814,0.27017022403294166,0.41215323645970936,0.2536327608982827,5.556544968833482,0.437250432653593,5,0.4640963787246283
batch1,batch1_exp_00008,SUCCESS,trend_scanning_adaptive,trend_scanning_adaptive,uniqueness,kfold,none,baseline_fracdiff,0.5101424932629481,0.9279558605066354,0.06967599701291564,0.5612672364920563,0.2592576089206259,0.5388711395101171,0.38338658146964855,8.873301183691362,0.3788519426090984,5,0.5216339517618157
batch1,batch1_exp_00009,SUCCESS,trend_scanning_adaptive,trend_scanning_adaptive,uniform,kfold,none,baseline,0.5157324594342414,0.9337753036141551,0.06330491361158562,0.5622644603561873,0.2605029930471491,0.5420660276890309,0.3865814696485623,8.925909688733013,0.38874541786148453,5,0.5262658867361572
batch1,batch1_exp_00010,SUCCESS,triple_barrier,triple_barrier,uniqueness,kfold,none,baseline,0.5646842207539836,0.8158175987091261,0.020471583323006106,0.3187138358214492,0.19820758838515615,0.0,0.0,0.0,0.25006786580764684,5,0.3388105324523902
batch1,batch1_exp_00011,SUCCESS,triple_barrier,triple_barrier,uniform,kfold,none,baseline_fracdiff,0.5043723338641983,0.7807275230915385,0.012244926464216902,0.34545916860204595,0.22833296778341253,0.0,0.0,0.0,0.2763706336051769,5,0.302623400318519
batch1,batch1_exp_00012,SUCCESS,trend_scanning_adaptive,trend_scanning_adaptive,uniform,kfold,none,baseline,0.5003559911211626,0.9418644648643395,0.03953640741411452,0.49889597191165685,0.26967451343335636,0.46895640686922063,0.309114927344782,6.322350845948353,0.45067051902071664,5,0.4877961574203858
batch1,batch1_exp_00013,SUCCESS,trend_scanning,trend_scanning,uniqueness,kfold,none,baseline,0.49471231972374574,0.9308765288836912,0.042096559781339374,0.6227667957164233,0.24648115409147522,0.7592814371257485,0.6,11.083916083916083,0.4358351708605272,5,0.6005399666845468
batch1,batch1_exp_00014,SUCCESS,triple_barrier,triple_barrier,uniqueness,kfold,none,baseline,0.5537883026868962,0.8345592929945314,0.014502046945337485,0.272123955418207,0.1805071651274575,0.0,0.0,0.0,0.28781611200947366,5,0.3322729816121377
