long_only,min_sweep_atr,num_trades,total_pnl,win_rate,profit_factor,max_drawdown
False,0.0,391,-4133.23,0.353,0.758,-4539.53
False,0.1,374,-3891.03,0.366,0.758,-4299.77
False,0.2,344,-3278.48,0.375,0.775,-3412.47
True,0.0,226,-601.97,0.42,0.935,-1368.87
True,0.1,213,-841.32,0.427,0.902,-1577.2
True,0.2,196,-839.18,0.429,0.895,-1253.74
