combo,window,meta_threshold,primary_long,primary_short,require_meta_for_trade,max_trades_per_day,trades_count,total_pnl_usd,max_drawdown_usd,profit_factor,win_rate,avg_trade_usd,passes_constraints
m0.4_L0.43_S0.58_rm0,ytd_2026_jan_apr,0.4,0.43,0.58,False,,54,3173.7632567024666,1252.8662740830841,1.9383038288526222,0.5740740740740741,58.77339364263827,True
m0.4_L0.43_S0.58_rm1,ytd_2026_jan_apr,0.4,0.43,0.58,True,,11,3022.3169929901273,49.9800000000032,61.470528071030955,0.9090909090909091,274.75609027182975,True
m0.45_L0.43_S0.58_rm0,ytd_2026_jan_apr,0.45,0.43,0.58,False,,54,3173.7632567024666,1252.8662740830841,1.9383038288526222,0.5740740740740741,58.77339364263827,True
m0.45_L0.43_S0.58_rm1,ytd_2026_jan_apr,0.45,0.43,0.58,True,,11,3022.3169929901273,49.9800000000032,61.470528071030955,0.9090909090909091,274.75609027182975,True
m0.5_L0.43_S0.58_rm0,ytd_2026_jan_apr,0.5,0.43,0.58,False,,54,3173.7632567024666,1252.8662740830841,1.9383038288526222,0.5740740740740741,58.77339364263827,True
m0.5_L0.43_S0.58_rm1,ytd_2026_jan_apr,0.5,0.43,0.58,True,,11,3022.3169929901273,49.9800000000032,61.470528071030955,0.9090909090909091,274.75609027182975,True
